rank,company,founded,employees,score,ceo,state,hq,industry
1,Mercedes-Benz,1950,201 - 500,8.29,"Thomas Mann, Drazen Ivancic",Salzburg,Eugendorf,Automotive (Producers and Suppliers)
2,Hilti,1941,"501 - 1,000",8.29,Dr. Manfred Gutternigg,Vienna,Wien,Finished Goods and Consumer Goods
3,Energie AG Oberösterreich,1892,"1,001 - 5,000",8.19,Dr. Leonhard Schitter,Upper Austria,Linz,"Raw Materials, Utilities"
4,Netzwerk Telekom Service (NTS),1995,201 - 500,8.19,Alexander Albler,Styria,Raaba-Grambach,"IT, Internet, Telecommunication"
5,Institute of Science and Technology Austria,2006,"501 - 1,000",8.19,Thomas A. Henzinger,Lower Austria,Klosterneuburg,Education and Research
6,Microsoft,1991,201 - 500,8.18,Hermann Erlach,Vienna,Wien,"IT, Internet, Telecommunication"
7,Philips,1926,201 - 500,8.17,"Michaela Latzelsberger, Johannes Ebner",Vienna,Wien,Finished Goods and Consumer Goods
8,Energie Steiermark,1996,"1,001 - 5,000",8.16,"Christian Purrer, Martin Graf",Styria,Graz,"Raw Materials, Utilities"
9,Zaunergroup,1998,"501 - 1,000",8.12,Roman Zauner,Upper Austria,Wallern an der Trattnach,"Engineering, Manufacturing"
10,LINZ AG,2000,"1,001 - 5,000",8.06,Eric Haider,Upper Austria,Linz,"Raw Materials, Utilities"
11,SAP,1986,201 - 500,8.05,Christina Wilfinger,Vienna,Wien,"IT, Internet, Telecommunication"
12,Oberösterreichische Versicherung,1974,"501 - 1,000",8.03,Mag. Othmar Nagl,Upper Austria,Linz,Insurance
13,Porsche Holding,1947,"5,001 - 10,000",8.03,"Hans Peter Schützinger, Rainer Schroll",Salzburg,Salzburg,Wholesale
14,Erste Bank,1819,"10,001 - 50,000",8.01,"Gerda Holzinger-Burgstaller, Alexandra Habeler-Drabek",Vienna,Wien,Banking and Financial Services
15,Dynatrace,2005,"501 - 1,000",8.00,"Richard Bowers, Craig Newfield",Upper Austria,Linz,"IT, Internet, Telecommunication"
16,Helvetia,1858,"501 - 1,000",8.00,Thomas Neusiedler,Vienna,Wien,Insurance
17,ZAMG – Zentrum für Meteorologie und Geodynamik,1851,201 - 500,7.98,Andreas Schaffhauser,Vienna,Wien,Education and Research
18,Wiener Stadtwerke,1999,"10,001 - 50,000",7.98,Martin Krajcsir,Vienna,Wien,"Raw Materials, Utilities"
19,BMD Systemhaus,1972,"501 - 1,000",7.98,Dr. Markus Knasmüller,Upper Austria,Steyr,"IT, Internet, Telecommunication"
20,IT-Services der Sozialversicherung (ITSV),2004,"501 - 1,000",7.96,"Hubert Wackerle, Erwin Fleischhacker",Vienna,Wien,"IT, Internet, Telecommunication"
21,Raiffeisenlandesbank Kärnten,1895,"1,001 - 5,000",7.95,"Peter Gauper, Georg Messner",Carinthia,Klagenfurt am Wörthersee,Banking and Financial Services
22,Roche,1907,201 - 500,7.93,Susanne Erkens-Reck,Vienna,Wien,Chemicals and Pharmaceuticals
23,Austrian Power Grid (APG),1998,"501 - 1,000",7.93,"Gerhard Christiner, Thomas Karall",Vienna,Wien,"Raw Materials, Utilities"
24,ASFINAG,1982,"1,001 - 5,000",7.93,"Josef Fiala, Hartwig Hufnagl",Vienna,Wien,Construction
