rank,company,founded,employees,score,ceo,state,hq,industry
1,Sheridan College,1967,"1,001 - 5,000",93.77,Janet Morrison,Ontario,Oakville,Education
2,Canadian Mental Health Association,1918,"5,001 - 10,000",92.71,Margaret Eaton,Ontario,Toronto,Healthcare & Social
3,Keg Steakhouse & Bar,1971,"5,001 - 10,000",92.56,David Aisenstat,British Columbia,Richmond,Restaurants
4,Ericsson,1953,"100,001 - 500,000",92.54,Börje Ekholm,Stockholms län,Stockholm,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
5,Export Development Canada,1944,"1,001 - 5,000",92.09,Mairead Lavery,Ontario,Ottawa,Banking and Financial Services
6,Carleton University,1942,"5,001 - 10,000",92.06,Yaprak Baltacioglu,Ontario,Ottawa,Education
7,Hydro-Québec,1944,"10,001 - 50,000",91.63,Sophie Brochu,Quebec,Montreal,Utilities
8,Cisco Systems,1990,"50,001 - 100,000",91.28,Chuck Robbins,California,San Jose,"IT, Internet, Software & Services"
9,Microsoft,1985,"100,001 - 500,000",91.26,Satya Nadella,Washington,Redmond,"IT, Internet, Software & Services"
10,OpenText,1991,"10,001 - 50,000",90.48,Mark Barrenechea,Ontario,Waterloo,"IT, Internet, Software & Services"
11,Shared Health,1973,"5,001 - 10,000",90.46,Adam Topp,Manitoba,Winnipeg,Healthcare & Social
12,Grant Thornton,1924,"50,001 - 100,000",90.09,Seth Siegel,Illinois,Chicago,"Professional Services (e.g. Consulting, Accounting)"
13,McMaster University,1887,"10,001 - 50,000",90.05,David Farrar,Ontario,Hamilton,Education
14,Lululemon Athletica,1998,"10,001 - 50,000",89.95,Calvin McDonald,British Columbia,Vancouver,Clothing  (Manufacturing and Retail)
15,Pratt & Whitney,1928,"10,001 - 50,000",89.64,Maria Della Posta,Connecticut,East Hartford,Aerospace & Defense
16,Concordia University,1974,"5,001 - 10,000",89.48,Graham Carr,Quebec,Montreal,Education
17,Google,1998,"100,001 - 500,000",89.37,Sundar Pichai,California,Mountain View,"IT, Internet, Software & Services"
18,City of Brampton,1853,"1,001 - 5,000",89.36,Patrick Brown,Ontario,Brampton,Government Services
19,PCL Construction,1906,"1,001 - 5,000",89.03,Dave Filipchuk,Alberta,Edmonton,"Construction, Oil & Gas Operations, Mining and Chemicals"
20,BC Hydro,1860,"5,001 - 10,000",89.03,Chris O’Riley,British Columbia,Vancouver,Utilities
21,Coca Cola Canada Bottling Limited,1896,"5,001 - 10,000",89.02,Todd Parsons,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
22,Marriott Hotels & Resorts,1927,"100,001 - 500,000",89.01,Anthony Capuano,Maryland,Bethesda,Travel & Leisure
23,The Co-operators,1945,"5,001 - 10,000",88.90,Rob Wesseling,Ontario,Guelph,Insurances
24,Mercedes-Benz,1955,"100,001 - 500,000",88.84,Ola Källenius,Baden-Württemberg,Stuttgart,Automotive (Automotive and Suppliers)
25,University of Victoria,1963,"5,001 - 10,000",88.77,Kevin Hall,British Columbia,Victoria,Education
26,Regional Municipality of York,1971,"1,001 - 5,000",88.65,Wayne Emmerson,Ontario,York,Government Services
27,Children's Hospital of Eastern Ontario (CHEO),1974,"5,001 - 10,000",88.50,Alex Munter,Ontario,Ottawa,Healthcare & Social
28,Bank of Canada,1935,"1,001 - 5,000",88.47,Tiff Macklem,Ontario,Ottawa,Government Services
29,American Express,1850,"50,001 - 100,000",88.36,Stephen J. Squeri,New York,New York,Banking and Financial Services
30,City of Markham,1792,"1,001 - 5,000",88.28,Frank Scarpitti,Ontario,Markham,Government Services
31,University of Manitoba,1877,"5,001 - 10,000",88.23,Michael Benarroch,Manitoba,Winnipeg,Education
32,Ikea,1943,"100,001 - 500,000",88.18,Jon Abrahamsson Ring,South Holland,Delft,Retail and Wholesale
33,Manitoba Hydro,1961,"1,001 - 5,000",88.15,Jay Grewal,Manitoba,Winnipeg,Utilities
34,Sephora,1970,"10,001 - 50,000",88.13,Christopher de Lapuente,Île-de-France,Paris,Retail and Wholesale
35,Desjardins,1900,"50,001 - 100,000",88.03,Guy Cormier,Quebec,Lévis,Banking and Financial Services
36,University of New Brunswick,1785,"1,001 - 5,000",88.03,Dr. Paul Mazerolle,New Brunswick,Fredericton,Education
37,British Columbia Institute of Technology (BCIT),1960,"1,001 - 5,000",87.87,Paul McCullough,British Columbia,Burnaby,Education
38,Health Canada / Santé Canada,1993,"5,001 - 10,000",87.83,Jean-Yves Duclos,Ontario,Ottawa,Government Services
39,Advanced Micro Devices (AMD),1969,"10,001 - 50,000",87.76,Dr. Lisa Su,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
