rank,company,founded,employees,score,ceo,state,hq,industry
1,Porsche,1931,"10,001 - 50,000",83.26,Oliver Blume,Baden-Württemberg,Stuttgart,Automotive (Producers and Suppliers)
2,BMW,1916,"50,001 - 100,000",82.28,Oliver Zipse,Bavaria,München,Automotive (Producers and Suppliers)
3,BASF,1865,"50,001 - 100,000",81.92,Martin Brudermüller,Rhineland-Palatinate,Ludwigshafen,Chemicals and Raw Materials
4,Audi,1899,"50,001 - 100,000",81.83,Markus Duesmann,Bavaria,Ingolstadt,Automotive (Producers and Suppliers)
5,Adidas,1949,"5,001 - 10,000",81.58,Kasper Rorsted,Bavaria,Herzogenaurach,"Clothing, Shoes and Sport Articles"
6,Google Germany,1998,"1,001 - 5,000",80.97,Sundar Pichai,Hamburg,Hamburg,Internet
7,DM-Drogeriemarkt,1973,"10,001 - 50,000",80.83,Christoph Werner,Baden-Württemberg,Karlsruhe,Retail (without clothing)
8,Fraunhofer-Gesellschaft,1949,"10,001 - 50,000",80.45,Reimund Neugebauer,Bavaria,München,"Consulting, Research and Technology"
9,DLR Deutsches Zentrum für Luft- und Raumfahrt,1907,"5,001 - 10,000",80.18,Anke Kaysser Pyzalla,North Rhine-Westphalia,Köln,"Consulting, Research and Technology"
10,Boehringer Ingelheim,1885,"10,001 - 50,000",80.16,Hubertus von Baumbach,Rhineland-Palatinate,Ingelheim am Rhein,Pharma and Medical Products
11,Bayer,1863,"10,001 - 50,000",80.00,Werner Baumann,North Rhine-Westphalia,Leverkusen,Chemicals and Raw Materials
12,Liebherr,1949,"10,001 - 50,000",79.87,Willi Liebherr,Baden-Württemberg,Biberach an der Riß,"Rail, Ship and Aircraft Construction"
13,Lindt & Sprüngli Deutschland,1899,"1,001 - 5,000",79.71,Ernst Tanner,North Rhine-Westphalia,Aachen,Food and (Nondurable) Consumer Goods
14,Roche,1896,"10,001 - 50,000",79.02,Dr. Severin Schwan,Baden-Württemberg,Grenzach-Wyhlen,Pharma and Medical Products
15,Fresenius,1912,"50,001 - 100,000",78.94,Stephan Sturm,Hesse,Bad Homburg,Pharma and Medical Products
16,Rossmann,1972,"10,001 - 50,000",78.57,Raoul Roßmann,Lower Saxony,Burgwedel,Retail (without clothing)
17,Biontech,2008,"1,001 - 5,000",78.29,Ugur Sahin,Rhineland-Palatinate,Mainz,Pharma and Medical Products
18,Airbus,1970,"10,001 - 50,000",78.15,Guillaume Faury,Hamburg,Hamburg,"Rail, Ship and Aircraft Construction"
19,Kärcher,1935,"5,001 - 10,000",77.95,"Jan Recknagel, Klaus Hirschle",Baden-Württemberg,Winnenden,"Engineering, Manufacturing"
20,Volkswagen,1937,"100,001 - 500,000",77.94,Herbert Diess,Lower Saxony,Wolfsburg,Automotive (Producers and Suppliers)
21,Bionorica,1933,"501 - 1,000",77.94,Professor Dr Michael A. Popp,Bavaria,Neumarkt in der Oberpfalz,Pharma and Medical Products
22,Mercedes Benz Group,1926,"100,001 - 500,000",77.67,Ola Källenius,Baden-Württemberg,Stuttgart,Automotive (Producers and Suppliers)
23,Stepstone,1996,"501 - 1,000",77.57,Sebastian Dettmers,North Rhine-Westphalia,Düsseldorf,Internet
24,Deutsche Bundesbank,1957,"10,001 - 50,000",77.50,Joachim Nagel,Hesse,Frankfurt am Main,Banking and Financial Services
25,Miele,1899,"10,001 - 50,000",77.49,Dr. Markus Miele,North Rhine-Westphalia,Gütersloh,Durable Consumer Goods
