rank,company,founded,employees,score,ceo,state,hq,industry
1,Samsung Group,1938,"100,001 - 500,000",100.00,Jae-yong Lee,South Korea,Seoul,Conglomerate
2,Microsoft,1975,"100,001 - 500,000",95.49,Satya Nadella,United States,Redmond,"IT, Internet, Software & Services"
3,IBM,1911,"100,001 - 500,000",93.04,Arvind Krishna,United States,Armonk,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
4,Alphabet,1998,"100,001 - 500,000",91.81,Sundar Pichai,United States,Mountain View,"IT, Internet, Software & Services"
5,Apple,1976,"100,001 - 500,000",91.21,Tim Cook,United States,Cupertino,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
6,Delta Air Lines,1925,"50,001 - 100,000",90.36,Ed Bastian,United States,Atlanta,Transportation and Logistics
7,Costco Wholesale,1983,"100,001 - 500,000",90.07,W. Craig Jelinek,United States,Issaquah,Retail and Wholesale
8,Adobe,1982,"10,001 - 50,000",89.80,Shantanu Narayen,United States,San Jose,"IT, Internet, Software & Services"
9,Southwest Airlines,1967,"50,001 - 100,000",89.41,Bob Jordan,United States,Dallas,Transportation and Logistics
10,Dell Technologies,1984,"100,001 - 500,000",89.16,Michael Dell,United States,Round Rock,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
11,Lockheed Martin,1912,"100,001 - 500,000",89.01,Jim Taiclet,United States,Bethesda,Aerospace & Defense
12,Cisco Systems,1984,"50,001 - 100,000",88.98,Chuck Robbins,United States,San Jose,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
13,BMW Group,1916,"100,001 - 500,000",88.77,Oliver Zipse,Germany,Munich,Automotive (Automotive and Suppliers)
14,Amazon,1994,">1,000,000",88.66,Andy Jassy,United States,Seattle,"IT, Internet, Software & Services"
15,Decathlon,1976,"50,001 - 100,000",88.42,Barbara Martin Coppola,France,Villeneuve-d'Ascq,Retail and Wholesale
16,Adidas,1949,"50,001 - 100,000",88.37,Kasper Rørsted,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
17,Airbus,1970,"100,001 - 500,000",88.22,Guillaume Faury,Netherlands,Leiden,Aerospace & Defense
18,Ferrari,1947,"1,001 - 5,000",88.19,John S. Elkann,Italy,Maranello,Automotive (Automotive and Suppliers)
19,Fraunhofer Society,1949,"10,001 - 50,000",88.17,Reimund Neugebauer,Germany,Munich,Healthcare & Social
20,Reliance Industries,1973,"100,001 - 500,000",87.80,Mukesh Ambani,India,Mumbai,Conglomerate
21,Rolex,1905,"10,001 - 50,000",87.78,Jean-Frédéric Dufour,Switzerland,Geneva,"Clothing, Shoes, Sports Equipment"
22,Dassault Group,1929,"10,001 - 50,000",87.65,Éric Trappier,France,Paris,Aerospace & Defense
23,Huawei Technologies,1987,"100,001 - 500,000",87.14,Ren Zhengfei,China,Shenzen,"Telecommunications Services, Cable Supplier"
24,Bosch,1886,"100,001 - 500,000",87.01,Stefan Hartung,Germany,Gerlingen,Automotive (Automotive and Suppliers)
25,Daimler,1998,"100,001 - 500,000",86.98,Ola Kallenius,Germany,Stuttgart,Automotive (Automotive and Suppliers)
26,Rossmann,1972,"50,001 - 100,000",86.91,Dirk Rossmann,Germany,Burgwedel,Retail and Wholesale
27,Intuit,1983,"10,001 - 50,000",86.69,Sasan Goodarzi,United States,Mountain View,"IT, Internet, Software & Services"
28,Safran,1984,"50,001 - 100,000",86.40,Olivier Andriès,France,Paris,Aerospace & Defense
29,Pfizer,1849,"50,001 - 100,000",86.40,Albert Bourla,United States,New York,Drugs & Biotechnology
30,JD.com,1998,"100,001 - 500,000",86.38,Liu Qiangdong,China,Beijing,Retail and Wholesale
31,Ikea,1943,"100,001 - 500,000",86.34,Jesper Brodin,Netherlands,Delft,Retail and Wholesale
32,Coca-Cola,1892,"50,001 - 100,000",86.29,James Quincey,United States,Atlanta,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
33,Armani Group,1975,"5,001 - 10,000",86.08,Giorgio Armani,Italy,Milan,"Clothing, Shoes, Sports Equipment"
34,Honda,1948,"100,001 - 500,000",86.06,Toshihiro Mibe,Japan,Tokyo,Automotive (Automotive and Suppliers)
35,3M Company,1902,"50,001 - 100,000",86.06,Mike Roman,United States,Saint Paul,Conglomerate
36,Yamaha Corporation,1887,"10,001 - 50,000",86.04,Takuya Nakata,Japan,Hamamatsu,"Engineering, Manufacturing"
37,Nike,1964,"50,001 - 100,000",85.93,John Donahoe,United States,Beaverton,"Clothing, Shoes, Sports Equipment"
38,Siemens,1847,"100,001 - 500,000",85.75,Roland Busch,Germany,Munich,"Engineering, Manufacturing"
39,Puma,1948,"10,001 - 50,000",85.59,Bjørn Gulden,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
40,Ultimate Kronos Group (UKG),2020,"10,001 - 50,000",85.40,Christopher Todd,United States,Lowell,"IT, Internet, Software & Services"
41,Dr. Oetker,1891,"10,001 - 50,000",85.35,Albert Christmann,Germany,Bielefeld,"Food, Soft Beverages, Alcohol & Tobacco (including Agriculture Production)"
42,Marriott International,1927,"100,001 - 500,000",85.30,Anthony Capuano,United States,Bethesda,Travel & Leisure
43,Northrop Grumman,1994,"50,001 - 100,000",85.17,Kathy Warden,United States,Falls Church,Aerospace & Defense
44,Volkswagen Group,1937,"500,001 - 1,000,000",85.14,Herbert Diess,Germany,Wolfsburg,Automotive (Automotive and Suppliers)
45,PayPal,1998,"10,001 - 50,000",85.09,Daniel Schulman,United States,San Jose,Banking and Financial Services
46,Saudi Aramco,1933,"50,001 - 100,000",85.06,Amin H. Nasser,Saudi Arabia,Dhahran,"Construction, Oil & Gas Operations, Mining and Chemicals"
47,Tencent,1998,"100,001 - 500,000",85.04,Ma Huateng,China,Shenzhen,"IT, Internet, Software & Services"
48,Sanofi,2004,"50,001 - 100,000",84.89,Paul Hudson,France,Paris,Drugs & Biotechnology
49,Rolls-Royce,1906,"10,001 - 50,000",84.86,Warren East,United Kingdom,London,Aerospace & Defense
50,Johnson & Johnson,1886,"100,001 - 500,000",84.83,Joaquin Duato,United States,New Brunswick,Drugs & Biotechnology
51,Target,1902,"100,001 - 500,000",84.81,Brian Cornell,United States,Minneapolis,Retail and Wholesale
52,Home Depot,1978,"100,001 - 500,000",84.79,Ted Decker,United States,Atlanta,Retail and Wholesale
53,Hyatt Hotels Corporation,1957,"100,001 - 500,000",84.72,Mark S. Hoplamazian,United States,Chicago,Travel & Leisure
54,Boeing,1916,"100,001 - 500,000",84.71,David L. Calhoun,United States,Arlington,Aerospace & Defense
55,Ford Motor Company,1903,"100,001 - 500,000",84.64,Jim Farley,United States,Dearborn,Automotive (Automotive and Suppliers)
56,Shopify,2006,"5,001 - 10,000",84.62,Tobias Lütke,Canada,Ottawa,"IT, Internet, Software & Services"
57,Colgate-Palmolive,1806,"10,001 - 50,000",84.61,Noel Wallace,United States,New York,Packaged Goods
58,General Dynamics Corp,1952,"50,001 - 100,000",84.57,Phebe N. Novakovic,United States,Reston,Aerospace & Defense
59,Philips,1891,"50,001 - 100,000",84.55,Frans van Houten,Netherlands,Amsterdam,Health Care Equipment & Services
60,MTU Aero Engines,1934,"5,001 - 10,000",84.41,Reiner Winkler,Germany,Munich,Aerospace & Defense
61,Chanel,1910,"10,001 - 50,000",84.39,Leena Nair,United Kingdom,London,"Clothing, Shoes, Sports Equipment"
62,Raymond James Financial,1962,"10,001 - 50,000",84.38,Paul C. Reilly,United States,Saint Petersburg,Banking and Financial Services
63,L'Oreal,1909,"50,001 - 100,000",84.37,Nicolas Hieronimus,France,Clichy,Packaged Goods
64,Capital One,1994,"50,001 - 100,000",84.34,Richard D. Fairbank,United States,McLean,Banking and Financial Services
65,TD Bank Group,1855,"50,001 - 100,000",84.15,Bharat B. Masrani,Canada,Toronto,Banking and Financial Services
66,Oracle,1977,"100,001 - 500,000",84.13,Safra Catz,United States,Austin,"IT, Internet, Software & Services"
67,Netflix,1997,"10,001 - 50,000",84.10,Reed Hastings Ted Sarandos,United States,Los Gatos,Media & Advertising
68,Carl-Zeiss,1846,"10,001 - 50,000",84.05,Karl Lamprecht,Germany,Oberkochen,"Engineering, Manufacturing"
69,"Merck KGaA, Darmstadt, Germany and its affiliates",1668,"50,001 - 100,000",84.02,Belen Garijo,Germany,Darmstadt,Drugs & Biotechnology
70,Wacker Chemie,1914,"10,001 - 50,000",84.02,Dr. Christian Hartel,Germany,Munich,"Construction, Oil & Gas Operations, Mining and Chemicals"
71,ENBW,1997,"10,001 - 50,000",84.00,Frank Mastiaux,Germany,Karlsruhe,Utilities
72,Prada,1913,"10,001 - 50,000",83.96,Miuccia Prada Bianchi Patrizio Bertelli,Italy,Milan,"Clothing, Shoes, Sports Equipment"
73,General Motors,1908,"100,001 - 500,000",83.87,Mary T. Barra,United States,Detroit,Automotive (Automotive and Suppliers)
74,T. Rowe Price Group,1937,"5,001 - 10,000",83.86,Robert W. Sharps,United States,Baltimore,Banking and Financial Services
75,Volvo Group,1927,"50,001 - 100,000",83.85,Martin Lundstedt,Sweden,Gothenburg,"Engineering, Manufacturing"
76,Alibaba Group,1999,"100,001 - 500,000",83.73,Daniel Zhang,China,Hangzhou,"IT, Internet, Software & Services"
77,Intel,1968,"100,001 - 500,000",83.71,Patrick Gelsinger,United States,Santa Clara,"IT, Internet, Software & Services"
78,Viatris,1961,"10,001 - 50,000",83.67,Michael Goettler,United States,Canonsburg,Drugs & Biotechnology
79,dm-Drogerie Markt,1973,"50,001 - 100,000",83.57,Christoph Werner,Germany,Karlsruhe,Retail and Wholesale
80,Mitsubishi Electric,1921,"100,001 - 500,000",83.55,Kei Urama,Japan,Tokyo,"Engineering, Manufacturing"
81,Pirelli,1872,"10,001 - 50,000",83.54,Marco Tronchetti Provera,Italy,Milan,Automotive (Automotive and Suppliers)
82,Enel,1962,"50,001 - 100,000",83.50,Francesco Starace,Italy,Rome,Utilities
83,Kempinski Hotels,1897,"10,001 - 50,000",83.50,Bernold Schroeder,Switzerland,Geneva,Travel & Leisure
