rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,2003,"5,001 - 10,000",8.94,Elizabeth M. Cunningham,Dublin,Dublin,"Internet, Gaming, and eCommerce"
2,Irish Wheelchair Association,1960,"1,001 - 5,000",8.50,Rosemary Keogh,Dublin,Dublin,Health Care
3,LinkedIn,2009,"1,001 - 5,000",8.43,Michelle Leung,Dublin,Dublin,"Internet, Gaming, and eCommerce"
4,eBay,2003,"501 - 1,000",8.38,Rob Hattrell,Dublin,Dublin,"Internet, Gaming, and eCommerce"
5,Iarnrod Eireann - Irish Rail,1986,"1,001 - 5,000",8.25,Jim Meade,Dublin,Dublin,Transportation and Logistics
6,Irish Cancer Society,1963,201 - 500,8.19,Averil Power,Dublin,Dublin,Health Care
7,Apple,2006,"5,001 - 10,000",8.08,Tim Cook,Cork,Cork,"Semiconductors, Electronics, Electrical Engineering, Hardware"
8,Microsoft,1985,"1,001 - 5,000",8.03,Anne Sheehan,Dublin,Dublin,"Internet, Gaming, and eCommerce"
9,Indeed,2012,"1,001 - 5,000",8.03,Chris Hyams,Dublin,Dublin,"IT, Software and Services"
10,ALDI,1999,"1,001 - 5,000",8.00,Giles Hurley,Dublin,Dublin,Retail
11,Adobe,2001,"1,001 - 5,000",7.99,Mark Higgins,Dublin,Dublin,"IT, Software and Services"
12,Bus Atha Cliath - Dublin Bus,1987,"1,001 - 5,000",7.97,Ray Coyne,Dublin,Dublin,Transportation and Logistics
13,DPD,1986,>200,7.96,Colin Kennedy,Westmeath,Athlone,Transportation and Logistics
14,Pfizer,1969,"1,001 - 5,000",7.93,Albert Bourla,Dublin,Dublin,Drugs and Biotechnology
15,Next,1989,>200,7.91,Lord Wolfson of Aspley Guise,Dublin,Dublin,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
16,Laya Healthcare,2012,201 - 500,7.89,Dónal Clancy,Cork,Little Island,Insurance
17,CJK Engineering,1998,201 - 500,7.88,Vincent Bruen,Dublin,Dublin,Construction and related Services
