rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,2005,"1,001 - 5,000",8.99,Barak Regev,Tel Aviv District,Tel Aviv,"Internet, eCommerce & Gaming"
2,Microsoft,1989,"1,001 - 5,000",8.43,Alon Haimovich,Central District,Ra'anana,IT & Software
3,Intel,1974,"10,001 - 50,000",8.26,Yaniv Garty,Haifa District,Haifa,"Semiconductors, Electronics, Electrical Engineering & Hardware"
4,Meta,2013,>200,8.21,Adi Soffer Teeni,Tel Aviv District,Tel Aviv,"Internet, eCommerce & Gaming"
5,SAP,1998,"501 - 1,000",8.20,Stavit Navon,Central District,Ra'anana,IT & Software
6,IBM,1972,"1,001 - 5,000",8.09,Shay Benaim,Central District,Petah Tikva,IT & Software
7,Tidhar Group,1993,"501 - 1,000",8.04,Udi Sharvit,Central District,Ra'anana,Construction & Real Estate
8,ISR - Israel Railways,1948,"1,001 - 5,000",8.04,Michael Mikesner,Central District,Lod,Aviation & Transportation
9,Ezer Mizion,1979,>200,8.01,Rabbi Chananya Chullk,Tel Aviv District,Bnei Brak,Health & Social
10,Apple,2011,"1,001 - 5,000",7.94,Rony Friedman,Tel Aviv District,Herzliya,IT & Software
11,Wix,2006,"1,001 - 5,000",7.91,Avishai Abrahami,Tel Aviv District,Tel Aviv,"Internet, eCommerce & Gaming"
12,Dell,2010,>200,7.87,Lior Pony,Tel Aviv District,Herzliya,Retail
13,Tmura Insurance Agency,1987,201 - 500,7.87,Akiva Kleiman,Central District,Hod Hasharon,"Financial Services, Fintech & Insurances"
14,Eden Teva Market,2003,>200,7.82,Haggai Shalom,Central District,Emek Hefer,SuperMarkets
15,Applied Materials,1999,"1,001 - 5,000",7.77,Rafael (Rafi) Benami,Central District,Rehovot,"Semiconductors, Electronics, Electrical Engineering & Hardware"
16,eBay,2005,201 - 500,7.74,Amir Di-Nur,Central District,Netanya,"Internet, eCommerce & Gaming"
17,ZIM,1945,"501 - 1,000",7.74,Eli Glickman,Haifa District,Haifa,Aviation & Transportation
18,Cisco,1997,201 - 500,7.73,Oren Sagi,Central District,Netanya,Telecommunications
19,Amazon,2013,"1,001 - 5,000",7.71,Eyal Itah; Yoelle Maarek,Tel Aviv District,Tel Aviv,"Internet, eCommerce & Gaming"
20,Elbit Systems,1996,"10,001 - 50,000",7.69,Bezhalel Butzi Machlis,Haifa District,Haifa,Defence Industry
21,Hamat,1944,51 - 200,7.68,Nir Klein,Southern District,Ashdod,Retail
22,Strauss Group,1933,"5,001 - 10,000",7.67,Giora Bardea,Central District,Petah Tikva,Consumer Goods
23,SQLink Group,1994,"1,001 - 5,000",7.64,Tamir Goren,Tel Aviv District,Ramat Gan,IT & Software
24,Tnuva,1926,"5,001 - 10,000",7.63,Eyal Malis,Central District,Petah Tikva,Consumer Goods
25,Gloat,2015,201 - 500,7.59,Ben Reuveni,Tel Aviv District,Tel Aviv,IT & Software
26,Shikun & Binui,1924,"1,001 - 5,000",7.59,Tamir Cohen,Central District,Airport City,Construction & Real Estate
27,Clalit Health Services,1911,"10,001 - 50,000",7.58,Ehud Davidson,Tel Aviv District,Tel Aviv,Health & Social
28,Harel Insurance,1982,"1,001 - 5,000",7.55,Michel Siboni,Tel Aviv District,Ramat Gan,"Financial Services, Fintech & Insurances"
29,Weizmann Institute of Science,1934,"1,001 - 5,000",7.55,Alon Chen,Central District,Rehovot,Education & Research
30,Mobileye,1999,"1,001 - 5,000",7.53,Amnon Shashua,Jerusalem District,Jerusalem,Automotive & Auto Tech
31,Check Point Software,1993,"1,001 - 5,000",7.50,Gil Shwed,Tel Aviv District,Tel Aviv,"Cyber Security, Data & Analytics"
32,Clal Insurance,1987,"1,001 - 5,000",7.50,Yoram Naveh,Tel Aviv District,Tel Aviv,"Financial Services, Fintech & Insurances"
33,IEC - Israel Electric Corporation,1923,"10,001 - 50,000",7.49,Ram Erlichman,Haifa District,Haifa,Utilities
34,Israel Aerospace Industries,1953,"10,001 - 50,000",7.47,Boaz Levy,Central District,Lod,Defence Industry
35,KPMG,1922,"1,001 - 5,000",7.46,Gad Somekh,Tel Aviv District,Tel Aviv,"Professional Services (incl. Consulting, Law, Accounting)"
36,Electra,1945,>200,7.45,Itamar Deutscher,Central District,Rishon LeZion,Holding Companies
37,Amdocs,1987,"1,001 - 5,000",7.43,Shay Levy,Central District,Ra'anana,IT & Software
38,Partner,1999,"1,001 - 5,000",7.43,Avi Gabay,Central District,Rosh HaAyin,Telecommunications
39,Abra Information Technologies,1997,"501 - 1,000",7.42,Shai Ozon,Central District,Kfar Saba,IT & Software
40,BMC Software,1983,201 - 500,7.41,Ayman Sayed,Tel Aviv District,Tel Aviv,"Cyber Security, Data & Analytics"
41,NVIDIA,2016,"1,001 - 5,000",7.40,Jensen Huang,Tel Aviv District,Tel Aviv,"Semiconductors, Electronics, Electrical Engineering & Hardware"
42,Pizza Hut,1990,"1,001 - 5,000",7.40,Shmulik Baruch,Tel Aviv District,Herzliya,"Travel, Restaurants & Leisure"
43,Johnson & Johnson,1972,"501 - 1,000",7.39,Joaquin Duato,Central District,Shefayim,"Biotechnology , Pharmaceuticals & Med-Tech"
44,Align Technology,1997,201 - 500,7.39,Joseph M. Hogan,Central District,Petah Tikva,Health & Social
