rank,company,founded,employees,score,ceo,state,hq,industry
1,Volkswagen,1985,"501 - 1,000",9.31,Marcus Osegowitsch,Veneto,Verona,"Automotive, Aeronautics and Defense"
2,Google,2002,201 - 500,9.30,Melissa Ferretti Peretti,Lombardy,Milano,"Internet, IT and Telecommunications"
3,Fratelli Carli,1911,201 - 500,9.26,Gianfranco Carli,Liguria,Imperia,"Food and Beverages, Other Non-Durable Consumer Goods"
4,Pandora,2010,"1,001 - 5,000",9.18,Massimo Basei,Lombardy,Milano,"Fashion, Accessories, Sports Equipment (Production and Trade)"
5,Banca d'Italia,1893,"5,001 - 10,000",9.15,Daniele Franco,Lazio,Roma,"Banks, Insurance and Financial Services"
6,Tenaris,1906,"1,001 - 5,000",9.15,Paola Rocca,Lombardy,Dalmine,Mechanical Engineering and Plant Engineering
7,Enav,1981,"1,001 - 5,000",9.14,Pasqualino Monti,Lazio,Roma,Transportation and Logistics
8,Heineken,1974,"1,001 - 5,000",9.10,Wietse Mutters,Aosta Valley,Pollein,"Food and Beverages, Other Non-Durable Consumer Goods"
9,Istituto Nazionale dei Tumori,1928,"1,001 - 5,000",9.09,Marco Luigi Votta,Lombardy,Milano,Health and Social
10,Versace,1978,"501 - 1,000",9.07,Emmanuel Gintzburger,Lombardy,Milano,"Fashion, Accessories, Sports Equipment (Production and Trade)"
11,AXA,1984,"1,001 - 5,000",9.07,Giacomo Gigantiello,Lombardy,Milano,"Banks, Insurance and Financial Services"
12,Coca-Cola HBC,1927,"1,001 - 5,000",9.07,Frank O'Donnell,Lombardy,Sesto San Giovanni,"Food and Beverages, Other Non-Durable Consumer Goods"
13,Armani,1975,"1,001 - 5,000",9.05,Giorgio Armani,Lombardy,Milano,"Fashion, Accessories, Sports Equipment (Production and Trade)"
14,Hilton Hotels & Resorts,1919,"1,001 - 5,000",9.01,Sonia Ricciuti,Lazio,Roma,"Catering, Tourism, Hotel, Entertainment and Recreational Activities"
15,Pfizer,1955,"1,001 - 5,000",9.01,Albert Bourla,Lazio,Latina,"Pharmaceutical, Chemical and Biotechnology"
