rank,company,founded,employees,score,ceo,state,hq,industry
1,Bureau of Fire Protection (BFP),1991,">10,000",9.22,FDIR. Louie S. Puracan,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
2,Google,2013,"5,001 - 10,000",9.17,Bernadette Nacario,Metropolitan Manila,"Metropolitan Manila, Taguig City","IT, Internet, Software & Services"
3,Ayala Land,1988,">10,000",9.15,Bernard Vincent O. Dy,Metropolitan Manila,"Metropolitan Manila, Makati City",Real Estate
4,Axelum Resources,1986,"1,001 - 5,000",9.15,Romeo I. Chan,Metropolitan Manila,"Metropolitan Manila, Makati City","Food, Soft Beverages, Alcohol & Tobacco"
5,Supreme Court of the Philippines,1901,"1,001 - 5,000",9.11,Alexander G. Gesmundo,Metropolitan Manila,"Metropolitan Manila, Manila",Government Services
6,Honda Philippines,1990,"1,001 - 5,000",9.10,Masahiko Nakamura,Calabarzon,"Laguna, Santa Rosa",Automotive (Automotive and Suppliers)
7,Nissan Philippines,2013,>250,9.03,Juan Manuel Hoyos,Metropolitan Manila,"Metropolitan Manila, Taguig City",Automotive (Automotive and Suppliers)
8,Asian Development Bank,1966,"1,001 - 5,000",8.99,Masatsugu Asakawa,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Banking and Financial Services
9,Maersk,1931,"1,001 - 5,000",8.95,Vincent Clerc,Metropolitan Manila,"Metropolitan Manila, Pasay City",Transportation and Logistics
10,Samsung Philippines,1969,>250,8.92,"Kye Hyun Kyung , Jong Hee Han",Metropolitan Manila,"Metropolitan Manila, Taguig City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
11,Accenture,1985,">10,000",8.90,Ambe Tierro,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
12,San Miguel Corporation (SMC),1890,">10,000",8.89,Ramon S. Ang,Metropolitan Manila,"Metropolitan Manila, Mandaluyong City",Business Services & Supplies
13,Pilipinas Shell Petroleum Corporation,1914,"1,001 - 5,000",8.89,Lorelie Q. Osial,Metropolitan Manila,"Metropolitan Manila, Taguig City","Construction, Oil & Gas Operations, Mining and Chemicals"
14,Ayala Corporation,1834,">10,000",8.89,Cezar P. Consing,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
15,Sterling Talent Solutions,2002,>250,8.89,Joshua Peirez,Metropolitan Manila,"Metropolitan Manila, Taguig City",Business Services & Supplies
16,Isuzu Automotive Dealership,1996,>250,8.88,Hajime Koso,Metropolitan Manila,"Metropolitan Manila, Muntinlupa City",Automotive (Automotive and Suppliers)
17,JPMorgan Chase & Co.,1961,">10,000",8.87,Patricia Tanedo hermogenes,Metropolitan Manila,"Metropolitan Manila, Makati City",Banking and Financial Services
18,Metropolitan Bank & Trust (Metrobank),1962,">10,000",8.86,Fabian Dee,Metropolitan Manila,"Metropolitan Manila, Makati City",Banking and Financial Services
19,Capital One Philippines Support Services,2015,>250,8.86,Richard D. Fairbank,Metropolitan Manila,"Metropolitan Manila, Muntinlupa City",Business Services & Supplies
20,San Miguel Food & Beverage,1956,>250,8.85,Ramon S. Ang,Metropolitan Manila,"Metropolitan Manila, Pasig City","Food, Soft Beverages, Alcohol & Tobacco"
21,National Food Authority,1972,>250,8.85,Judy Carol L. Dansal,Metropolitan Manila,Metropolitan Manila. Quezon City,Government Services
22,Department of Trade and Industry (DTI),1898,"1,001 - 5,000",8.84,Alfredo E. Pascual,Metropolitan Manila,"Metropolitan Manila, Makati City",Government Services
23,Del Monte Philippines,1920,"1,001 - 5,000",8.83,Rolando C. Gapud,Metropolitan Manila,"Metropolitan Manila, Taguig City","Food, Soft Beverages, Alcohol & Tobacco"
24,Johnson & Johnson,1956,>250,8.83,Raghu Krishnan,New Jersey,"New Brunswick, NJ, USA",Drugs & Biotechnology
25,Manila Doctors Hospital,1956,"1,001 - 5,000",8.82,Arlene P. Ledesma,Metropolitan Manila,"Metropolitan Manila, Manila",Healthcare & Social
26,RealPage Philippines,2011,"1,001 - 5,000",8.82,Dana Jones,Metropolitan Manila,"Metropolitan Manila, Pasig City","IT, Internet, Software & Services"
27,Chowking,1985,"501 - 1,000",8.81,"Andrew L. Santos, Jr.",Metropolitan Manila,"Metropolitan Manila, Pasig City",Restaurants
28,Procter & Gamble (P&G),1935,251 - 500,8.80,Jon R. Moeller,Metropolitan Manila,"Metropolitan Manila, Taguig City",Packaged Goods
29,Verizon Communications,2000,"501 - 1,000",8.79,Dojie Dizon F.,Metropolitan Manila,"Metropolitan Manila, Muntinlupa City","Telecommunications Services, Cable Supplier"
30,De La Salle - College Of Saint Benilde,1988,>250,8.79,Br. Edmundo Fernandez FSC,Metropolitan Manila,"Metropolitan Manila, Manila",Education
31,University Of Santo Tomas,1611,>250,8.78,Very Rev. Fr. Gerard Francisco P.,Metropolitan Manila,"Metropolitan Manila, Manila",Education
32,Chevron,1879,"501 - 1,000",8.78,Michael K. (Mike) Wirth,Metropolitan Manila,"Metropolitan Manila, Makati City","Construction, Oil & Gas Operations, Mining and Chemicals"
33,Mindanao State University,1968,"501 - 1,000",8.75,"Prof. Alizedney M. Ditucalan, JD, LLM",Northern Mindanao,"Lanao del Norte, Iligan City",Education
34,Samsung Electro-Mechanics (SEMPHIL),1997,"5,001 - 10,000",8.75,Min Su Chu,Calabarzon,"Laguna, Calamba City","Engineering, Manufacturing"
35,Department of Social Welfare and Development (DSWD),1915,>250,8.73,Rex Gatchalian,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
36,University of the Philippines,1908,"1,001 - 5,000",8.72,Atty. Angelo A. Jimenez,Metropolitan Manila,"Metropolitan Manila, Quezon City",Education
37,St. Luke's Medical Center,1903,"1,001 - 5,000",8.72,Dr. Dennis P. Serrano,Metropolitan Manila,"Metropolitan Manila, Quezon City",Healthcare & Social
38,Department of Finance (DOF),1897,"501 - 1,000",8.70,Dr. Benjamin Diokno,Metropolitan Manila,"Metropolitan Manila, Manila",Government Services
39,Department of Justice (DOJ),1897,"501 - 1,000",8.70,Jesus Crispin C. Remulla,Metropolitan Manila,"Metropolitan Manila, Manila",Government Services
40,Government Service Insurance System (GSIS),1937,"1,001 - 5,000",8.68,Jose Arnulfo “Wick” Veloso,Metropolitan Manila,"Metropolitan Manila, Pasay City",Government Services
41,Jollibee Foods,1975,>250,8.68,Ernesto Tanmantiong,Metropolitan Manila,"Metropolitan Manila, Pasig City",Restaurants
42,The Armed Forces of the Philippines (AFP),1898,">10,000",8.67,LTGEN. Romeo Brawner Jr. JR PA,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
43,Abenson Ventures,1970,251 - 500,8.67,Wilson Lim Jr.,Metropolitan Manila,"Metropolitan Manila, Quezon City",Retail and Wholesale
44,Sun Life Philippines,1895,"1,001 - 5,000",8.67,Benedict Sison,Metropolitan Manila,"Metropolitan Manila, Taguig City",Insurance
45,Commission on Audit (COA),1899,"5,001 - 10,000",8.66,Gamaliel Asis Cordoba,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
46,Epson,1996,>250,8.65,Akifumi Takei,Metropolitan Manila,"Metropolitan Manila, Pasig City","Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
47,Nestlé,2018,"1,001 - 5,000",8.65,Kais Marzouki,Metropolitan Manila,"Metropolitan Manila, Makati City","Food, Soft Beverages, Alcohol & Tobacco"
48,Maxicare Healthcare,1987,>250,8.65,Christian S. Argos,Metropolitan Manila,"Metropolitan Manila, Makati City",Healthcare & Social
49,Cognizant Technology Solutions,2009,"5,001 - 10,000",8.64,Ravi Kumar S,Metropolitan Manila,"Metropolitan Manila, Taguig City",Business Services & Supplies
50,Abbott,1943,"501 - 1,000",8.63,Robert B. Ford,Metropolitan Manila,"Metropolitan Manila, Taguig City",Health Care Equipment & Services
51,Ayala Property Management Corporation (APMC),1976,"1,001 - 5,000",8.63,Laurent P. Lamasuta,Metropolitan Manila,"Metropolitan Manila, Makati City",Real Estate
52,Emerson Electric Asia,1890,"1,001 - 5,000",8.63,Lal Karsanbhai,Metropolitan Manila,"Metropolitan Manila, Pasig City","IT, Internet, Software & Services"
53,Department of the Interior and Local Government (DILG),1897,"501 - 1,000",8.62,Benhur Abalos,Metropolitan Manila,"Metropolitan Manila, Quezon City",Government Services
54,De La Salle University,1911,"1,001 - 5,000",8.61,Br. Bernard S. Oca FSC,Metropolitan Manila,"Metropolitan Manila, Manila",Education
55,Asurion,1994,"501 - 1,000",8.61,Tony Detter,Tennessee,"Nashville, TN, USA",Professional Services
56,ADP,1953,"1,001 - 5,000",8.60,Maria Black,Metropolitan Manila,"Metropolitan Manila, Makati City",Business Services & Supplies
57,Monde Nissin,1979,"501 - 1,000",8.60,Henry Soesanto,Metropolitan Manila,"Metropolitan Manila, Makati City","Food, Soft Beverages, Alcohol & Tobacco"
