rank,company,founded,employees,score,ceo,state,hq,industry
1,Decathlon,2001,"1,001 - 5,000",85.48,David Derouané,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
2,Pepco,2004,>250,84.29,David M Velazquez,Greater Poland,Poznań,"Clothing, Accessories, Sports Equipment (Production and Trade)"
3,Google,2005,"501 - 1,000",83.88,Magdalena Kotlarczyk,Mazovia,Warszawa,"IT, Internet, Software"
4,Microsoft,1992,>250,83.88,Dominika Bettman,Mazovia,Warszawa,"IT, Internet, Software"
5,Cisco,1995,>250,83.60,Przemysław Kania,Lesser Poland,Kraków,"IT, Internet, Software"
6,CD PROJEKT,1994,"1,001 - 5,000",83.17,Adam Kiciński,Mazovia,Warszawa,"IT, Internet, Software"
7,Allegro,1999,"1,001 - 5,000",82.46,Francois Nuyts,Greater Poland,Poznań,Retail
8,ING Bank Śląski,1988,"5,001 - 10,000",82.21,Brunon Bartkiewicz,Silesia,Katowice,Banks and Financial Services
9,adidas,2001,>250,80.91,Krzysztof Łuczakowski,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
10,Samsung,1996,"1,001 - 5,000",80.56,Suh Kyung Wook,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
11,IBM,1935,>250,80.01,Marcin Gajdziński,Mazovia,Warszawa,"IT, Internet, Software"
12,Generali,1998,"1,001 - 5,000",79.90,Roger Hodgkiss,Mazovia,Warszawa,Insurance
13,Siemens,1991,>250,79.04,Dominika Bettman,Mazovia,Warszawa,Construction of Machines and Installations
14,General Electric,1992,>250,78.81,Sławomir Zygowski,Mazovia,Warszawa,Construction of Machines and Installations
15,Electrolux,1992,"5,001 - 10,000",77.81,Krzysztof Kudlek,Mazovia,Warszawa,Durable Consumer Goods
16,BMW,2003,>250,77.52,Karim Christian Haririan,Mazovia,Warszawa,Vehicle Construction and Sales
17,Grupa Azoty,1927,"10,001 - 50,000",77.44,Mariusz Grab,Lesser Poland,Tarnów,Oil and Gas
18,Drutex,1985,"1,001 - 5,000",77.38,Leszek Gierszewski,Pomerania,Bytów,Construction
19,Grupa INDITEX,1999,"1,001 - 5,000",77.34,Mariusz Leszczyński,Mazovia,Warszawa,"Clothing, Accessories, Sports Equipment (Production and Trade)"
20,Super-Pharm,2001,>250,77.30,Adam Kolodziejczyk,Mazovia,Warszawa,Retail
21,Hilton,2007,"501 - 1,000",77.20,Christopher J. Nassetta,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
22,eobuwie.pl,2015,>250,77.12,Damian Zapłata,Lubusz,Zielona Góra,"Clothing, Accessories, Sports Equipment (Production and Trade)"
23,Deichmann,1997,"1,001 - 5,000",77.10,Johannes Obersteiner,Lower Silesia,Wrocław,"Clothing, Accessories, Sports Equipment (Production and Trade)"
24,BP,1991,"1,001 - 5,000",76.71,Bogdan Kucharski,Lesser Poland,Kraków,Oil and Gas
25,Fujitsu,1999,"1,001 - 5,000",76.68,Dariusz Kwieciński,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
26,MLEKPOL,1976,"1,001 - 5,000",76.66,Edmund Borawski,Podlaskie,Grajewo,FMCG
27,Intel,1999,"1,001 - 5,000",76.63,Leszek Pankiewicz,Pomerania,Gdańsk,"Electronics, Electrical Engineering, Computer Hardware"
28,Nokia,2006,>250,76.59,Pekka Lundmark,Mazovia,Warszawa,Telecommunication
29,JYSK,2000,"1,001 - 5,000",76.49,Piotr Padalak,Pomerania,Gdańsk,Retail
30,Gdańskie Autobusy i Tramwaje,2017,>250,76.42,Maciej Lisicki,Pomerania,Gdańsk,Transportation and Logistics
31,Ceramika Paradyż,1989,"1,001 - 5,000",76.29,Piotr Tokarski,Łódź,Opoczno,Construction
32,Dell,2001,"1,001 - 5,000",76.27,Dariusz Piotrowski,Mazovia,Warszawa,"Electronics, Electrical Engineering, Computer Hardware"
33,Colgate-Palmolive,1991,>250,76.20,Noel Wallace,Mazovia,Warszawa,FMCG
34,Carlsberg,2001,"1,001 - 5,000",75.71,Mieszko Musiał,Mazovia,Warszawa,FMCG
35,KPMG,1990,"1,001 - 5,000",75.42,Stacy Ligas,Mazovia,Warszawa,Consulting
36,Unibep,1950,"1,001 - 5,000",75.30,Leszek Marek Gołąbiecki,Podlaskie,Bielsk Podlaski,Construction
37,Budimex,1968,"5,001 - 10,000",75.23,Artur Popko,Mazovia,Warszawa,Construction
38,Phoenix Contact,1994,>250,75.21,Marcin Poznański,Lower Silesia,Wrocław,"Electronics, Electrical Engineering, Computer Hardware"
39,Metro Warszawskie,1995,"1,001 - 5,000",75.18,Jerzy Lejk,Mazovia,Warszawa,Transportation and Logistics
40,Benefit Systems,2000,"1,001 - 5,000",75.07,Jolanta Rycerz,Mazovia,Warszawa,"Restaurants, Tourism, Sports and Recreational Services"
41,Dobroplast,2000,>250,74.97,Grzegorz Kowalski,Podlaskie,Stary Laskowiec,Construction
42,Michelin,1992,"1,001 - 5,000",74.92,Juan-Antonio Alvarez-Ossorio,Warmia-Masuria,Olsztyn,Vehicle Construction and Sales
43,Amica,1945,"1,001 - 5,000",74.82,Jacek Rutkowski,Greater Poland,Wronki,Durable Consumer Goods
44,Bank Millennium,1989,"5,001 - 10,000",74.74,Joao Bras Jorge,Mazovia,Warszawa,Banks and Financial Services
45,Lidl,2002,"10,001 - 50,000",74.57,Włodzimierz Wlaźlak,Greater Poland,Tarnowo Podgórne,Retail
46,Bosch,1992,"5,001 - 10,000",74.46,Rafał Rudziński,Multiple Locations,Multiple Locations,Vehicle Construction and Sales
47,Uniwersytet im. Adama Mickiewicza w Poznaniu,1919,"5,001 - 10,000",74.13,Bogumiła Kaniewska,Greater Poland,Poznań,Education and Research
48,Eurovia,2003,"1,001 - 5,000",74.07,Nicolas Depret,Lower Silesia,Kobierzyce,Construction
49,Toyota,1990,"1,001 - 5,000",74.02,Dariusz Mikołajczak,Lower Silesia,Wałbrzych,Vehicle Construction and Sales
