rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,1998,>200,9.16,Sundar Pichai,Singapore,Singapore,"IT, Internet, Software & Services"
2,Economic Development Board (EDB),1961,>200,8.72,Hon Sui San,Singapore,Singapore,Government Services
3,The LEGO Group,2017,>200,8.71,Niels B. Christiansen,Singapore,Singapore,Retail and Wholesale
4,Apple,1976,>200,8.55,Tim Cook,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
5,Wise,2011,>200,8.49,"Kristo Kaarmann, Taavet Hinrikus",Singapore,Singapore,Banking and Financial Services
6,Procter & Gamble,1837,>200,8.47,David S. Taylor,Singapore,Singapore,Packaged Goods
7,Rolls-Royce,1904,>200,8.42,Tufan Erginbilgic,Singapore,Singapore,Aerospace & Defense
8,Tanglin Trust School,1925,>200,8.40,Graig Considine,Singapore,Singapore,Education
9,United World College of South East Asia,1975,>200,8.40,Carma Elliot,Singapore,Singapore,Education
10,City Energy,1862,>200,8.35,Perry Ong,Singapore,Singapore,Utilities
11,UNIQLO,1949,>200,8.30,Tadashi Yanai,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
12,Adidas Singapore,1994,>200,8.27,Kasper Rorsted,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
13,Federal Express Pacific (FedEx),1864,"1,001 - 5,000",8.27,Eric Tan,Singapore,Singapore,Transportation and Logistics
14,KLA,1997,>200,8.26,Rick Wallace,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
15,Starbucks Coffee Singapore,1988,>200,8.16,Patrick Kwok,Singapore,Singapore,Restaurants and Food Services
16,Bank of America,1923,>200,8.16,Brian Moynihan,Singapore,Singapore,Banking and Financial Services
17,Illumina Singapore,2003,>200,8.11,Derric Lee,Singapore,Singapore,Health Care Equipment & Services
18,Singapore American School,1956,>200,8.11,Matt Rogers,Singapore,Singapore,Education
19,Motorola Solutions Singapore,1928,>200,8.10,Gregory Q. Brown,Singapore,Singapore,"Telecommunications Services, Cable Supplier"
20,JP MorganChase,1799,>200,8.08,James Dimon,Singapore,Singapore,Banking and Financial Services
21,Amazon,1994,>200,8.06,Andy Jassy,Singapore,Singapore,Retail and Wholesale
22,Ramky Cleantech Services,2009,>200,8.05,Keith Koh,Singapore,Singapore,Business Support Services & Supplies
23,Marina Bay Sands,2005,"5,001 - 10,000",8.04,Robert Glen Goldstein,Singapore,Singapore,Travel & Leisure
24,BHP Billiton,1851,>200,8.03,Mike Henry,Singapore,Singapore,"Oil & Gas Operations, Mining and Chemicals"
25,Ministry of Social and Family Development (MSF),1946,"1,001 - 5,000",8.02,Carol Chua,Singapore,Singapore,Government Services
26,Senoko Energy,1977,>200,7.97,Graeme York,Singapore,Singapore,Utilities
27,Ikea Singapore,1978,>200,7.97,Christian Roejkjaer,Singapore,Singapore,Retail and Wholesale
28,Coca-Cola Singapore,1992,>200,7.94,Gaurav Sharma,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
29,Trans Eurokars,1985,>200,7.94,Karsono Kwee,Singapore,Singapore,Transportation and Logistics
30,Schneider Electric,1920,>200,7.92,Jean-Pascal Tricoire,Singapore,Singapore,"Engineering, Manufacturing"
31,Raffles Medical Group,1976,>200,7.92,Loo Choon Yong,Singapore,Singapore,Healthcare & Social
32,Cisco,1984,>200,7.91,Chuck Robbins,Singapore,Singapore,"IT, Internet, Software & Services"
33,McDonald's,1979,"5,001 - 10,000",7.89,Benjamin Boh,Singapore,Singapore,Restaurants and Food Services
34,Abbott,1970,"501 - 1,000",7.87,Sanjeev Joharb,Singapore,Singapore,Drugs & Biotechnology
35,Barclays,1736,"501 - 1,000",7.86,Mark Ashton-Rigby,Singapore,Singapore,Banking and Financial Services
36,Meta,2004,>200,7.86,Mark Zuckerberg,Singapore,Singapore,"IT, Internet, Software & Services"
37,DBS Bank,1968,>200,7.86,Sim S. Lim,Singapore,Singapore,Banking and Financial Services
38,Atos Information Technology,1997,>200,7.85,Elie Girard,Singapore,Singapore,"IT, Internet, Software & Services"
39,Airbus,1970,"501 - 1,000",7.84,Guillaume Faury,Singapore,Singapore,Aerospace & Defense
40,Johnson & Johnson,1886,>200,7.84,Joaquin Duato,Singapore,Singapore,Health Care Equipment & Services
41,DNV,1864,>200,7.83,Remi Erikson,Singapore,Singapore,Professional Services
42,Temasek Polytechnic,1990,>200,7.83,Peter Lam,Singapore,Singapore,Education
43,Santarli,1983,>200,7.83,Lee Boon Teow,Singapore,Singapore,Construction
44,Woh Hup,1927,"1,001 - 5,000",7.83,Eugene Yong,Singapore,Singapore,Construction
45,Jacobs Engineering,1947,>200,7.82,Steve Demetriou,Singapore,Singapore,Construction
46,CapitaLand,2000,>200,7.81,Tan Yew Chin,Singapore,Singapore,Real Estate
47,Far East Organization,1960,>200,7.81,Philip Ng Chee Tat,Singapore,Singapore,Real Estate
48,DHL,1969,>200,7.81,Oscar de Bok,Singapore,Singapore,Transportation and Logistics
49,G2000 Apparel,1985,>200,7.81,Nelson Choi,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
50,Thomson Medical Group,1979,>200,7.80,Wong Chiang Yin,Singapore,Singapore,Healthcare & Social
51,Frasers Property,1980,>200,7.80,Panote Sirivadhanabhakdi,Singapore,Singapore,Real Estate
52,Zendesk,2007,>200,7.80,Mikkel Svanne,Singapore,Singapore,"IT, Internet, Software & Services"
