rank,company,founded,employees,score,ceo,state,hq,industry
1,Google,2007,"1,001 - 5,000",9.13,Ben King,Singapore,Singapore,"IT, Internet, Software & Services"
2,Procter & Gamble,1987,"1,001 - 5,000",8.92,Jon R. Moeller,Singapore,Singapore,Packaged Goods
3,Wells Fargo,1852,"5,001 - 10,000",8.90,Soumitro Mukerji,Singapore,Singapore,Banking and Financial Services
4,Apple,1981,"1,001 - 5,000",8.77,Tim Cook,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
5,Rolls-Royce,1950,"1,001 - 5,000",8.67,Tufan Erginbilgic,Singapore,Singapore,Aerospace & Defense
6,The LEGO Group,2013,201 - 500,8.66,Niels B. Christiansen,Singapore,Singapore,Retail and Wholesale
7,Illumina Singapore,1998,"1,001 - 5,000",8.66,Derric Lee,Singapore,Singapore,Health Care Equipment & Services
8,Inchcape Singapore,1967,"501 - 1,000",8.61,Jasmmine Wong,Singapore,Singapore,Automotive (Automotive and Suppliers)
9,Asia Pacific Breweries (Heineken Asia Pacific),1931,201 - 500,8.60,Kenneth Choo,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
10,Orange Valley Nursing Homes,1993,201 - 500,8.58,Lyn Edel Yip,Singapore,Singapore,Healthcare & Social
11,Raffles Medical Group,1976,"1,001 - 5,000",8.48,Loo Choon Yong,Singapore,Singapore,Healthcare & Social
12,Siemens,1908,"501 - 1,000",8.42,Dr. Thai Lai Pham,Singapore,Singapore,"Engineering, Manufacturing"
13,Teambuild Construction,1992,"501 - 1,000",8.37,Seow Seng Wei,Singapore,Singapore,Construction
14,Motorola Solutions Singapore,1983,"501 - 1,000",8.36,Gregory Q. Brown,Singapore,Singapore,"Telecommunications Services, Cable Supplier"
15,Federal Express Pacific (FedEx),1984,"1,001 - 5,000",8.34,Eric Tan,Singapore,Singapore,Transportation and Logistics
16,Amgen,1980,201 - 500,8.25,Robert A. Bradway,Singapore,Singapore,Drugs & Biotechnology
17,Woh Hup,1927,"1,001 - 5,000",8.25,Yong Tiam Yoon Kim,Singapore,Singapore,Construction
18,Senoko Energy,1977,201 - 500,8.24,Eric Maka,Singapore,Singapore,Utilities
19,Johnson & Johnson,1886,"1,001 - 5,000",8.23,Joaquin Duato,Singapore,Singapore,Health Care Equipment & Services
20,Kone,1978,201 - 500,8.22,Henrik Ehrnrooth,Singapore,Singapore,Construction
21,Tanglin Trust School,1925,201 - 500,8.20,Craig Considine,Singapore,Singapore,Education
22,Jurong Engineering,1971,201 - 500,8.20,Koichi Watanabe,Singapore,Singapore,Construction
23,Starbucks Coffee Singapore,1996,201 - 500,8.18,Patrick Kwok,Singapore,Singapore,Restaurants and Food Services
24,Kuehne + Nagel,1970,201 - 500,8.17,Peer Gjoew Rasmussen,Singapore,Singapore,Transportation and Logistics
25,UNIQLO,2009,201 - 500,8.13,Yuki Yamada,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
26,National University Health System (NUHS),1985,"501 - 1,000",8.11,Yeoh Khay Guan,Singapore,Singapore,Healthcare & Social
27,Adidas Singapore,1994,201 - 500,8.10,Bjørn Gulden,Singapore,Singapore,"Clothing, Shoes, Sports Equipment"
28,Raytheon Technologies,1922,201 - 500,8.10,Gregory J. Hayes,Singapore,Singapore,Aerospace & Defense
29,Roche Singapore,1973,201 - 500,8.10,Dr. Thomas Schinecker,Singapore,Singapore,Drugs & Biotechnology
30,CBM,1971,201 - 500,8.07,Roy Chiang,Singapore,Singapore,Business Support Services & Supplies
31,Singapore Polytechnic,1954,"1,001 - 5,000",8.06,Soh Wai Wah,Singapore,Singapore,Education
32,Changi General Hospital (CGH),1998,201 - 500,8.05,Prof Ng Wai Hoe,Singapore,Singapore,Healthcare & Social
33,DBS Bank,1968,201 - 500,8.05,Piyush Gupta,Singapore,Singapore,Banking and Financial Services
34,Barclays,1690,"501 - 1,000",8.04,Alexander Harrison,Singapore,Singapore,Banking and Financial Services
35,Coca-Cola Singapore,1886,201 - 500,8.03,Louis Balat Joseph,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
36,KLA,2006,"1,001 - 5,000",8.02,Rick Wallace,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
37,Nanyang Academy of Fine Arts,1938,201 - 500,8.01,Tan-Soh Wai Lan,Singapore,Singapore,Education
38,PropNex,2000,"10,001 - 50,000",8.01,Mohamed Ismail Gafoor,Singapore,Singapore,Real Estate
39,AIA Singapore,1931,201 - 500,7.99,Wong Sze Keed,Singapore,Singapore,Insurance
40,Economic Development Board (EDB),1961,201 - 500,7.98,Dr Beh Swan Gin,Singapore,Singapore,Government Services
41,Marina Bay Sands,2010,"5,001 - 10,000",7.97,Robert Glen Goldstein,Singapore,Singapore,Travel & Leisure
42,Domino's Pizza Singapore,2009,201 - 500,7.96,Ba U Shan-Ting,Singapore,Singapore,Restaurants and Food Services
43,3M,1966,"1,001 - 5,000",7.95,Mike Roman,Singapore,Singapore,"Engineering, Manufacturing"
44,Golden Village Multiplex,1992,201 - 500,7.94,Clara Cheo,Singapore,Singapore,Travel & Leisure
45,Wise,2017,201 - 500,7.94,Kristo Käärmann,Singapore,Singapore,Banking and Financial Services
46,Willis Towers Watson,1828,201 - 500,7.93,Choo Oi San,Singapore,Singapore,Banking and Financial Services
47,Boeing,1947,201 - 500,7.92,Alexander Feldman,Singapore,Singapore,Aerospace & Defense
48,Straits Construction Singapore,1969,201 - 500,7.92,Wong Chee Herng,Singapore,Singapore,Construction
49,FWD Insurance,2013,201 - 500,7.91,Adrian Vincent,Singapore,Singapore,Insurance
50,"Agency for Science, Technology and Research (A*STAR)",1967,"5,001 - 10,000",7.91,Frederick Chew,Singapore,Singapore,Government Services
51,Atos Information Technology,1919,201 - 500,7.91,Daniele Principato,Singapore,Singapore,"IT, Internet, Software & Services"
52,Singapore Power Group,1995,201 - 500,7.91,Stanley Huang Tian Guan,Singapore,Singapore,Utilities
53,Exyte Trading Singapore,1991,"1,001 - 5,000",7.88,Dr. Wolfgang Büchele,Singapore,Singapore,Construction
54,CTC Global,1972,201 - 500,7.88,Ichiro Tsuge,Singapore,Singapore,"IT, Internet, Software & Services"
55,Pfizer,1964,201 - 500,7.88,Dr. Albert Bourla,Singapore,Singapore,Drugs & Biotechnology
56,NTUC LearningHub,2004,201 - 500,7.87,Jeremy Ong,Singapore,Singapore,Education
57,Amazon,2019,201 - 500,7.86,Andy Jassy,Singapore,Singapore,Retail and Wholesale
58,Shanghai Tunnel Engineering Co (Singapore),1996,201 - 500,7.84,Zhang Yan,Singapore,Singapore,Construction
59,Huawei,1987,201 - 500,7.84,Foo Fang Yong,Singapore,Singapore,"IT, Internet, Software & Services"
60,BHCC Construction,2003,201 - 500,7.83,Xinping Yang,Singapore,Singapore,Construction
61,Hong Leong Asia,1941,201 - 500,7.83,Stephen Kiam Kong Ho,Singapore,Singapore,"Oil & Gas Operations, Mining and Chemicals"
62,Alcon,2009,201 - 500,7.82,David Endicott,Singapore,Singapore,Health Care Equipment & Services
63,F&N Foods,1883,201 - 500,7.82,Hui Choon Kit,Singapore,Singapore,"Food, Soft Beverages, Alcohol & Tobacco"
64,Hitachi,1989,201 - 500,7.81,Toshiaki Higashihara,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
65,Singapore Management University,1997,201 - 500,7.80,Lily Kong,Singapore,Singapore,Education
66,Sanofi,1885,"501 - 1,000",7.80,Paul Hudson,Singapore,Singapore,Drugs & Biotechnology
67,Temasek Polytechnic,1990,"1,001 - 5,000",7.79,Peter Lam,Singapore,Singapore,Education
68,Singapore Institute of Management (SIM),1964,201 - 500,7.79,Seah Chin Siong,Singapore,Singapore,Education
69,Singapore Health Services (SingHealth),2000,"10,001 - 50,000",7.79,Prof Ivy Ng,Singapore,Singapore,Healthcare & Social
70,Total Oil Asia-Pacific,1982,"501 - 1,000",7.77,Ting Wee Liang,Singapore,Singapore,"Oil & Gas Operations, Mining and Chemicals"
71,Hafary,1980,201 - 500,7.77,Kok Ann Low,Singapore,Singapore,Retail and Wholesale
72,Chip Eng Seng Corporation,1960,"1,001 - 5,000",7.76,Chia Lee Meng Raymond,Singapore,Singapore,Construction
73,JP MorganChase,1964,201 - 500,7.75,James Wey,Singapore,Singapore,Banking and Financial Services
74,Gardens by the bay,2007,201 - 500,7.75,Felix Loh,Singapore,Singapore,Travel & Leisure
75,National Healthcare Group,2000,201 - 500,7.75,Prof Philip Choo,Singapore,Singapore,Healthcare & Social
76,Medtronic,1998,201 - 500,7.75,Geoffrey S. Martha,Singapore,Singapore,Health Care Equipment & Services
77,GlaxoSmithKline (GSK),1959,"1,001 - 5,000",7.74,Emma Walmsley,Singapore,Singapore,Drugs & Biotechnology
78,Jacobs Engineering,1998,201 - 500,7.74,Bob Pragada,Singapore,Singapore,Construction
79,National University of Singapore,1980,"10,001 - 50,000",7.74,Prof Ho Teck Hua,Singapore,Singapore,Education
80,Ikea Singapore,1978,201 - 500,7.74,Christian Roejkjaer,Singapore,Singapore,Retail and Wholesale
81,McDonald's,1979,"10,001 - 50,000",7.73,Benjamin Boh,Singapore,Singapore,Restaurants and Food Services
82,Dell,1984,"1,001 - 5,000",7.73,Michael Dell,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
83,Yokogawa Electric Asia,1974,"1,001 - 5,000",7.72,Hitoshi Nara,Singapore,Singapore,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
84,Airbus,1969,"501 - 1,000",7.72,Guillaume Faury,Singapore,Singapore,Aerospace & Defense
85,Unilever,1971,201 - 500,7.71,Alan Jope,Singapore,Singapore,Packaged Goods
86,Tricor Singapore,2004,201 - 500,7.70,David Ong,Singapore,Singapore,Professional Services
87,Standard Chartered Bank (Singapore),1859,"5,001 - 10,000",7.70,Patrick Lee,Singapore,Singapore,Banking and Financial Services
88,Symrise,2003,201 - 500,7.69,Dr. Heinz-Jürgen Bertram,Singapore,Singapore,"Oil & Gas Operations, Mining and Chemicals"
89,American Express,1850,201 - 500,7.69,Marlin Brown,Singapore,Singapore,Banking and Financial Services
90,Merck Sharp & Dohme (MSD),1993,"501 - 1,000",7.69,Robert M. Davis,Singapore,Singapore,Drugs & Biotechnology
91,Kk Women's and Children's Hospital,1858,201 - 500,7.69,Alex Sia,Singapore,Singapore,Healthcare & Social
92,Agilent Technologies Singapore,1999,201 - 500,7.68,Mike McMullen,Singapore,Singapore,Drugs & Biotechnology
93,PayPal,1998,201 - 500,7.68,Dan Schulman,Singapore,Singapore,Banking and Financial Services
94,United World College of South East Asia,1971,"1,001 - 5,000",7.68,Patrick Hurworth,Singapore,Singapore,Education
95,SAP,1989,201 - 500,7.67,Eileen Chua,Singapore,Singapore,"IT, Internet, Software & Services"
96,Wing Tai,1963,201 - 500,7.67,Cheng Wai Keung,Singapore,Singapore,Real Estate
97,Bloomberg,1981,201 - 500,7.67,Mike Bloomberg,Singapore,Singapore,Business Support Services & Supplies
98,Arup,1968,201 - 500,7.67,Tan Yoong Heng,Singapore,Singapore,Professional Services
99,Microsoft,1975,"1,001 - 5,000",7.65,Lee Hui Li,Singapore,Singapore,"IT, Internet, Software & Services"
100,CapitaLand,2000,201 - 500,7.63,Wong Kan Seng,Singapore,Singapore,Real Estate
101,Challenger Technologies,1982,201 - 500,7.63,Loo Leong Thye,Singapore,Singapore,Retail and Wholesale
102,DHL,1969,"1,001 - 5,000",7.63,Christopher Ong,Singapore,Singapore,Transportation and Logistics
103,Goldman Sachs,1869,"1,001 - 5,000",7.60,David Solomon,Singapore,Singapore,Banking and Financial Services
