rank,company,founded,employees,score,ceo,state,hq,industry
1,Zweifel Pomy-Chips,1958,201 - 500,9.05,Christoph Zweifel,Zürich,Zürich,Manufacture of Food and other Consumer Goods
2,Schindler,1874,"1,001 - 5,000",9.01,Patrick Hess,Lucerne,Ebikon,Mechanical and Plant Engineering
3,Patek Philippe,1839,"1,001 - 5,000",8.81,Thierry Stern,Geneva,Plan-les-Ouates,Watches and Jewelry
4,Rolex,1905,"5,001 - 10,000",8.69,Jean-Frédéric Dufour,Geneva,Genf,Watches and Jewelry
5,Breitling,1884,"501 - 1,000",8.61,Georges Kern,Solothurn,Grenchen,Watches and Jewelry
6,PSI Paul Scherrer Institut,1988,"1,001 - 5,000",8.58,Prof. Dr. Christian Rüegg,Aargau,Villigen,Education and Research
7,Microsoft Schweiz,1989,"501 - 1,000",8.57,Catrin Hinkel,Zürich,Zürich,"Internet, Telecommunications and IT"
8,Rivella,1952,201 - 500,8.55,Erland Brügger,Aargau,Rothrist,Manufacture of Food and other Consumer Goods
9,Rhätische Bahn,1888,"1,001 - 5,000",8.54,Renato Fasciati,Grisons,Chur,Transportation and Logistics
10,Feldschlösschen,1876,"1,001 - 5,000",8.53,Thomas Amstutz,Aargau,Rheinfelden,Manufacture of Food and other Consumer Goods
11,Hilti,1941,201 - 500,8.48,Christoph Loos,Zürich,Adliswil,Construction
12,IKEA Schweiz,1943,"1,001 - 5,000",8.41,Jessica Anderen,Aargau,Spreitenbach,Retail
13,Geberit,1874,"1,001 - 5,000",8.37,Christian Buhl,St. Gallen,Jona,Production and Processing of Raw and Building Materials
14,Die Mobiliar,1826,"5,001 - 10,000",8.36,Michèle Rodoni,Bern,Bern,Insurance
15,Manpower Schweiz,1960,201 - 500,8.34,Jan Jacob,Geneva,Genf,Consulting
16,Audika,2016,201 - 500,8.34,Michael Grathwohl,Zürich,Urdorf,Retail
17,bbv Software Services,1995,201 - 500,8.31,Philipp Kronenberg,Lucerne,Luzern,"Internet, Telecommunications and IT"
18,Emmi Gruppe,1907,"5,001 - 10,000",8.29,Urs Riedener,Lucerne,Luzern,Manufacture of Food and other Consumer Goods
19,Endress+Hauser Gruppe,1953,"1,001 - 5,000",8.29,Matthias Altendorf,Basle-Country,Reinach,Mechanical and Plant Engineering
20,Pro Senectute,1917,"1,001 - 5,000",8.28,Alain Huber,Zürich,Zürich,Healthcare and Social
21,ICRC International Committee of the Red Cross,1863,"1,001 - 5,000",8.24,Stephan Maurer,Geneva,Genf,Healthcare and Social
22,Syz Group,1996,201 - 500,8.24,Eric Syz,Geneva,Genf,International and Investment Banking
23,Liebherr,1949,"1,001 - 5,000",8.23,"Willi Liebherr, Jan Liebherr",Fribourg,Bulle,Mechanical and Plant Engineering
24,Kühne + Nagel Schweiz,1890,201 - 500,8.22,Stefan Paul,Zürich,Glattbrugg,Transportation and Logistics
25,Matterhorn Gotthard Bahn,1891,201 - 500,8.21,Fernando Lehner,Valais,Brig,Transportation and Logistics
26,Swiss Re,1863,"1,001 - 5,000",8.21,Christian Mumenthaler,Zürich,Zürich,Insurance
