rank,company,founded,employees,score,ceo,state,hq,industry
1,Die Mobiliar,1826,>200,8.71,Michèle Rodoni,null,Bern,Insurance
2,Delica,2021,>200,8.47,Thomas Gubler,null,Buchs,Manufacture of Food and other Consumer Goods
3,Rhätische Bahn,1888,>200,8.41,Dr. Renato Fasciati,null,Chur,Transportation and Logistics
4,Zurich,1872,>200,8.24,Juan Beer,null,Zürich,Insurance
5,Rivella,1952,>200,8.24,Silvan Brauen,null,Rothrist,Manufacture of Food and other Consumer Goods
6,Breitling,1884,>200,8.18,Georges Kern,null,Grenchen,Watches and Jewelry
7,BLS,1906,>200,8.16,Daniel Schafer,null,Bern,Transportation and Logistics
8,Rolex,1905,>200,8.12,Jean-Frédéric Dufour,null,Genf,Watches and Jewelry
9,Sanitas Krankenversicherung,1958,>200,8.07,Dr. Andreas Schönenberger,null,Zürich,Insurance
10,UCB Farchim,1996,>200,8.07,Jean-Christophe Tellier,null,Bulle,Chemicals and Pharmaceuticals
11,CSS Versicherung,1899,>200,8.06,Philomena Colatrella,null,Luzern,Insurance
12,Confiserie Sprüngli,1836,>200,8.05,Tomas Prenosil,null,Zürich,Manufacture of Food and other Consumer Goods
13,Zweifel Pomy-Chips,1958,>200,8.03,Dr. Christoph Zweifel,null,Zürich,Manufacture of Food and other Consumer Goods
14,Victorinox,1884,>200,7.99,Carl Elsener junior,null,Ibach-Schwyz,Manufacture of Food and other Consumer Goods
14,Victorinox,1884,>200,7.99,Carl Elsener junior,null,Ibach-Schwyz,Watches and Jewelry
15,Thurgauer Kantonalbank,1871,>200,7.97,Thomas Koller,null,Weinfelden,International and Investment Banking
16,Schweizerische Südostbahn,2001,>200,7.95,Thomas Küchler,null,St. Gallen,Transportation and Logistics
17,EPFL Eidgenössische Technische Hochschule Lausanne,1853,>200,7.92,Martin Vetterli,null,Lausanne,Education and Research
18,BEKB Berner Kantonalbank,1834,>200,7.9,Armin Brun,null,Bern,International and Investment Banking
19,Google,2004,>200,7.89,Christine Antlanger-Winter,null,Zürich,"Internet, Telecommunications and IT"
20,Richemont,1988,>200,7.87,Nicolas Bos,null,Bellevue,Watches and Jewelry
21,Universität Freiburg,1889,>200,7.86,Katharina Fromm,null,Freiburg,Education and Research
22,Schweizer Paraplegiker-Gruppe,1975,>200,7.85,Luca Jelmoni,null,Nottwil,Healthcare and Social
23,Cisco,1984,>200,7.85,Christopher Tighe,null,Wallisellen,"Internet, Telecommunications and IT"
24,LVMH,1987,>200,7.83,Bernard Arnault,null,La Chaux-de-Fonds,Watches and Jewelry
25,Helvetia Versicherungen,1858,>200,7.81,Fabian Rupprecht,null,Basel,Insurance
26,Marti Gruppe,1922,>200,7.79,Peter Blättler,null,Moosseedorf,Construction
27,Pistor,1916,>200,7.78,Patrick Lobsiger,null,Rothenburg,Wholesale
28,Bühler,1860,>200,7.78,Stefan Scheiber,null,Uzwil,Mechanical and Plant Engineering
29,Decathlon,2016,>200,7.76,Christian Ollier,null,Genf,Retail
30,ti&m,2005,>200,7.76,Thomas Wüst,null,Zürich,"Internet, Telecommunications and IT"
31,Zürcher Kantonalbank,1869,>200,7.75,Urs Baumann,null,Zürich,International and Investment Banking
32,Pax Gruppe,1876,>200,7.75,Peter Kappeler,null,Basel,Insurance
33,Emmi Gruppe,1993,>200,7.75,Ricarda Demarmels,null,Luzern,Manufacture of Food and other Consumer Goods
34,Roche,1896,>200,7.74,Dr. Thomas Schinecker,null,Basel,Chemicals and Pharmaceuticals
35,ETH Eidgenössische Technische Hochschule Zürich,1855,>200,7.74,Dr. Joël Mesot,null,Zürich,Education and Research
36,Axpo,2001,>200,7.73,Christoph Brand,null,Baden,Energy and Communal Services
37,Schweizerische Bundesbahnen SBB,1902,>200,7.72,Vincent Ducrot,null,Bern,Transportation and Logistics
38,Caritas,1901,>200,7.71,Peter Lack,null,Luzern,Healthcare and Social
39,Suva,1912,>200,7.7,Felix Weber,null,Luzern,Insurance
40,CERN,1954,>200,7.69,Fabiola Gianotti,null,Geneva,Education and Research
41,Swiss Life,1857,>200,7.68,Roman Stein,null,Zürich,Insurance
42,Stiftung Bühl,1870,>200,7.67,Brigitte Steimen,null,Wädenswil,Healthcare and Social
43,CHRIST,1975,>200,7.66,Massimo Carraro,null,Winterthur,Retail
44,Aare Seeland Mobil,1999,>200,7.66,Fredy Miller,null,Langenthal,Transportation and Logistics
45,Huawei Technologies,2008,>200,7.64,Michael Yang,null,Liebefeld,"Internet, Telecommunications and IT"
46,Canon Schweiz,1946,>200,7.64,Markus Naegeli,null,Wallisellen,"Electronics, Electrical Engineering, Medical Devices"
47,IKEA Schweiz,1973,>200,7.63,Janie Bisset,null,Spreitenbach,Retail
48,Swiss Re,1863,>200,7.63,Andreas Berger,null,Zürich,Insurance
49,Pilatus Flugzeugwerke,1939,>200,7.62,Markus Bucher,null,Stans,Automotive and Vehicle Manufacturing and Sales
50,Bernmobil,1900,>200,7.62,René Schmied,null,Bern,Transportation and Logistics
51,ITRIS Gruppe,1986,>200,7.61,Alfred Winkler,null,Spreitenbach,"Internet, Telecommunications and IT"
52,CAMION TRANSPORT,1925,>200,7.6,Josef Jäger,null,Wil,Transportation and Logistics
53,Zur Rose,1993,>200,7.6,Emanuel Lorini,null,Frauenfeld,Wholesale
54,ABB,1891,>200,7.58,Nora Teuwsen,null,Zürich,Mechanical and Plant Engineering
55,Implenia,2006,>200,7.57,André Wyss,null,Glattpark,Construction
