rank,company,founded,employees,score,ceo,state,hq,industry
1,Samsung Electronics,1938,"100,001 - 500,000",100.00,Jong-Hee Han,South Korea,Seoul,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
2,Microsoft,1975,"100,001 - 500,000",99.52,Satya Nadella,United States,Redmond,"IT, Internet, Software & Services"
3,Alphabet,1998,"100,001 - 500,000",98.68,Sundar Pichai,United States,Mountain View,"IT, Internet, Software & Services"
4,Apple,1976,"100,001 - 500,000",94.55,Tim Cook,United States,Cupertino,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
5,Ferrari,1947,"1,001 - 5,000",94.40,Benedetto Vigna,Italy,Maranello,Automotive (Automotive and Suppliers)
6,IBM,1911,"100,001 - 500,000",94.34,Arvind Krishna,United States,Armonk,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
7,Adobe,1982,"10,001 - 50,000",94.11,Shantanu Narayen,United States,San Jose,"IT, Internet, Software & Services"
8,Costco Wholesale,1983,"100,001 - 500,000",93.88,W. Craig Jelinek,United States,Issaquah,Retail and Wholesale
9,BMW Group,1916,"100,001 - 500,000",93.29,Oliver Zipse,Germany,Munich,Automotive (Automotive and Suppliers)
10,Cisco Systems,1984,"50,001 - 100,000",92.17,Chuck Robbins,United States,San Jose,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
11,Airbus,1970,"100,001 - 500,000",92.06,Guillaume Faury,Netherlands,Leiden,Aerospace & Defense
12,Adidas,1949,"50,001 - 100,000",91.74,Bjørn Gulden,Germany,Herzogenaurach,"Clothing, Shoes, Sports Equipment"
13,Lockheed Martin,1912,"100,001 - 500,000",91.65,James D. Taiclet,United States,Bethesda,Aerospace & Defense
14,Rolex,1905,"10,001 - 50,000",91.61,Jean-Frédéric Dufour,Switzerland,Geneva,"Clothing, Shoes, Sports Equipment"
