rank,company,founded,employees,score,ceo,state,hq,industry
1,Hydro-Québec,1944,"10,001 - 50,000",92.62,Sophie Brochu,Quebec,Montreal,Utilities
2,University of New Brunswick,1785,"1,001 - 5,000",92.22,Allison D. McCain,New Brunswick,Fredericton,Education
3,National Bank of Canada,1859,"10,001 - 50,000",91.69,Louis Vachon,Quebec,Montreal,Banking and Financial Services
4,Nike,1964,"50,001 - 100,000",91.62,John Donahoe,Ontario,Toronto,Clothing  (Manufacturing and Retail)
5,Lush Fresh Handmade Cosmetics,1995,"1,001 - 5,000",90.91,Mark Wolverton,British Columbia,Vancouver,Retail and Wholesale
6,Memorial University of Newfoundland,1925,"1,001 - 5,000",90.76,Vianne Timmons,Newfoundland and Labrador,St. John's,Education
7,Waste Management,1968,"1,001 - 5,000",90.56,"James Fish, Jr.",Ontario,Brampton,Utilities
8,FedEx Canada,1987,"10,001 - 50,000",90.41,Frederick Smith,Ontario,Mississauga,Transportation and Logistics
9,Toronto Metropolitan University,1948,"1,001 - 5,000",90.31,Janice Fukakusa,Ontario,Toronto,Education
10,Sheridan College,1967,"1,001 - 5,000",90.16,Janet Morrison,Ontario,Oakville,Education
11,Marsh & McLennan Companies,1905,"50,001 - 100,000",89.87,Dan Glaser,New York,New York,"Professional Services (e.g. Consulting, Accounting)"
12,Best Buy,1966,"10,001 - 50,000",88.84,Corie Barry,Minnesota,Richfield,Retail and Wholesale
13,Samsung Electronics,1969,"501 - 1,000",88.08,Jeff Jo,Ontario,Mississauga,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
14,Purolator,1960,"10,001 - 50,000",87.91,John Ferguson,Ontario,Mississauga,Transportation and Logistics
15,Ikea,1943,"5,001 - 10,000",87.70,Jesper Brodin,Ontario,Burlington,Retail and Wholesale
16,Roots,1973,"1,001 - 5,000",87.41,Meghan Roach,Ontario,Toronto,Clothing  (Manufacturing and Retail)
17,Canada Goose,1957,"1,001 - 5,000",87.41,Dani Reiss,Ontario,Toronto,Clothing  (Manufacturing and Retail)
18,Ford,1904,"10,001 - 50,000",87.28,Jim Farley,Ontario,Oakville,Automotive (Automotive and Suppliers)
19,Ardène,1982,"1,001 - 5,000",87.27,Arden Dervishian,Quebec,Montreal,Clothing  (Manufacturing and Retail)
20,Cisco Systems,1990,"1,001 - 5,000",87.20,Chuck Robbins,Ontario,Toronto,"IT, Internet, Software & Services"
21,ATB Financial,1938,"1,001 - 5,000",87.10,Curtis Stange,Alberta,Edmonton,Banking and Financial Services
22,Sinai Health System,2015,"5,001 - 10,000",87.08,Dr. Gary Newton,Ontario,Toronto,Healthcare & Social
23,BASF,1865,"1,001 - 5,000",86.77,Martin Brudermüller,Ontario,Mississauga,"Construction, Oil & Gas Operations, Mining and Chemicals"
24,Disney,1923,"100,001 - 500,000",86.64,Bob Chapek,California,Burbank,Media & Advertising
25,McMaster University,1887,"5,001 - 10,000",86.17,David Farrar,Ontario,Hamilton,Education
26,Bruce Power,1960,"1,001 - 5,000",86.09,Mike Rencheck,Ontario,Tiverton,Utilities
27,Canada Life,1847,"10,001 - 50,000",86.08,Paul Mahon,Manitoba,Winnipeg,Insurances
28,UPS,1907,"10,001 - 50,000",86.07,Carol B. Tomé,Washington,Seattle,Transportation and Logistics
29,Apple,1976,"100,001 - 500,000",85.99,Tim Cook,Ontario,Toronto,"IT, Internet, Software & Services"
30,MNP,1958,"5,001 - 10,000",85.96,Jason Tuffs,Alberta,Calgary,"Professional Services (e.g. Consulting, Accounting)"
31,Humber River Hospital,1997,"1,001 - 5,000",85.88,Barb Collins,Ontario,Toronto,Healthcare & Social
32,KPMG,1987,"5,001 - 10,000",85.84,Elio Luongo,Ontario,Toronto,"Professional Services (e.g. Consulting, Accounting)"
33,Longo's,1956,"5,001 - 10,000",85.83,Anthony Longo,Ontario,Vaughan,Retail and Wholesale
