rank,company,founded,employees,score,ceo,state,hq,industry
1,Stora Enso,1998,>250,84.40,Annica Bresky,Finland,Stockholm + Helsinki,"Manufacture and Processing of Materials, Metals and Paper"
2,InterContinental Hotels Group,1777,>250,83.26,Keith Barr,United Kingdom,Buckinghamshire,Travel and Leisure
3,Infineon,1999,>250,83.16,Jochen Hanebeck,Germany,Neubiberg,"Semiconductors, Electronics, Electrical Engineering, Hardware"
4,Nationwide Building Society,1846,>250,83.00,Debbie Crosbie,United Kingdom,Swindon,Banking and Financial Services
5,Erste Bank,1819,>250,82.57,Willibald Cernko,Austria,Vienna,Banking and Financial Services
6,Finecobank Banca Fineco,1999,>250,82.14,Alessandro Foti,Italy,Milan,Banking and Financial Services
7,Cisco,1984,>250,81.76,Chuck Robbins,Netherlands,Amsterdam,"IT, Internet, Software and Services"
8,Schneider Electric,1836,>250,81.55,Jean-Pascal Tricoire,France,Paris,"Semiconductors, Electronics, Electrical Engineering, Hardware"
9,Telenor,1855,>250,81.17,Sigve Brekke,Norway,Fornebu,"Telecommunications Services, Cable Supplier"
10,Deutsche Telekom,1995,>250,80.97,Timotheus Höttges,Germany,Bonn,"Telecommunications Services, Cable Supplier"
11,GRDF,2008,>250,80.68,Edouard Sauvage,France,Paris,Utilities
12,Roche,1896,>250,80.59,Severin Schwan,Switzerland,Basel,Drugs and Biotechnology
13,SEB (Skandinaviska Enskilda Banken) Group,1856,>250,80.52,Johan Torgeby,Sweden,Stockholm,Banking and Financial Services
14,Chevron,1879,>250,80.47,Michael Wirth,United Kingdom,London,"Oil and Gas Operations, Mining, and Chemicals"
15,Ocado Group,2000,>250,80.46,Tim Steiner,United Kingdom,Hatfield,Retail
16,Volvo Car Group,1927,>250,80.30,Jim Rowan,Sweden,Göteborg,Automotive (Producers and Suppliers)
17,L'Oréal,1909,>250,80.23,Nicolas Hieronimus,France,Paris,Packaged Goods
18,Direct Line Group,1985,>250,80.20,Penny James,United Kingdom,Bromley,Insurance
19,TK Maxx,1994,>250,80.10,Ernie Herrman,United Kingdom,Watford,"Clothing and Accessories, Sports Equipment (Manufacturing and Retail)"
20,Vodafone,1982,>250,80.01,Nick Read,United Kingdom,Newbury,"Telecommunications Services, Cable Supplier"
21,Aviva,2000,>250,79.92,Amanda Blanc,United Kingdom,London,Insurance
22,Allianz,1890,>250,79.90,Oliver Bäte,Germany,Munich,Insurance
23,AstraZeneca,1999,>250,79.84,Pascal Soriot,United Kingdom,Cambridge,Drugs and Biotechnology
24,Diageo,1997,>250,79.78,Ivan Menezes,United Kingdom,London,"Food, Soft Beverages, Alcohol and Tobacco"
25,Johnson & Johnson,1886,>250,79.76,Joaquin Duato,United Kingdom,Prague,Drugs and Biotechnology
26,MAIF,1934,>250,79.70,Yves Pellicier,France,Niort,Insurance
27,AXA,1958,>250,79.69,Thomas Buberl,France,Paris,Insurance
28,Beckers,1865,>250,79.25,Christophe Sabas,Germany,Berlin,"Oil and Gas Operations, Mining, and Chemicals"
29,Banque de France,1800,>250,79.09,François Villeroy de Galhau,France,Paris,Banking and Financial Services
30,Takeda,1781,>250,78.97,Christophe Weber,Switzerland,Zurich,Drugs and Biotechnology
31,Sage,1981,>250,78.97,Steve Hare,United Kingdom,Newcastle Upon Tyne,"IT, Internet, Software and Services"
32,Apple,1976,>250,78.96,Tim Cook,Ireland,Cork,"Semiconductors, Electronics, Electrical Engineering, Hardware"
33,Lloyds Banking Group,1765,>250,78.95,Charlie Nunn,United Kingdom,London,Banking and Financial Services
34,Achmea,1811,>250,78.92,Bianca Tetteroo,Netherlands,Zeist,Banking and Financial Services
35,Orange,1994,>250,78.78,Christel Heydemann,France,Issy-les-Moulineaux,"Telecommunications Services, Cable Supplier"
36,Bristol Myers Squibb,1819,>250,78.78,Giovanni Caforio,France,Rueil-Malmaison,Drugs and Biotechnology
37,Hyatt Hotels Corporation,1957,>250,78.74,Mark Hoplamazian,United Kingdom,London,Travel and Leisure
38,Accor,1967,>250,78.71,Sébastien Bazin,France,Evry Cedex,Travel and Leisure
39,Dell Technologies,1984,>250,78.70,Michael Dell,Ireland,Dublin,"IT, Internet, Software and Services"
40,BSH Group,1967,>250,78.62,Matthias Metz,Germany,Munich,"Semiconductors, Electronics, Electrical Engineering, Hardware"
41,Caisse des Dépôts,1816,>250,78.60,Eric Lombard,France,Paris,Banking and Financial Services
42,Nationale-Nederlanden (NN),1863,>250,78.51,David Knibbe,Netherlands,The Hague,Banking and Financial Services
43,Agilent Technologies,1999,>250,78.49,Mike McMullen,Germany,Waldbronn,Health Care Equipment and Services
44,Inditex,1963,>250,78.48,Óscar García Maceiras,Spain,Arteixo,Retail
45,Accenture,1955,>250,78.39,Julie Sweet,Ireland,Dublin,"IT, Internet, Software and Services"
46,Natixis,2006,>250,78.35,Nicolas Namias,France,Paris,Banking and Financial Services
47,Rolls-Royce,1906,>250,78.33,Warren East,United Kingdom,London,"Aerospace, Defence, Manufacture of Transport Equipment"
48,The Coca-Cola Company,2016,>250,78.28,Damian Gammell,United Kingdom,Uxbridge,"Food, Soft Beverages, Alcohol and Tobacco"
49,Husqvarna,1689,>250,78.20,Henric Andersson,Sweden,Stockholm,"Semiconductors, Electronics, Electrical Engineering, Hardware"
50,Tesco,1919,>250,78.17,Ken Murphy,United Kingdom,Welwyn Garden City,Retail
51,Marriott International,1927,>250,78.15,Anthony Capuano,Switzerland,Dublin,Travel and Leisure
52,Dow,1897,>250,78.07,Jim Fitterling,Switzerland,Horgen,"Oil and Gas Operations, Mining, and Chemicals"
53,Procter & Gamble,1837,>250,77.93,Jon R. Moeller,Switzerland,Geneva,Packaged Goods
54,Telia Company,1853,>250,77.86,Allison Kirkby,Sweden,Solna,"Telecommunications Services, Cable Supplier"
55,ABB,1988,>250,77.81,Björn Rosengren,Switzerland,Zurich,"Semiconductors, Electronics, Electrical Engineering, Hardware"
