rank,company,founded,employees,score,ceo,state,hq,industry
1,Progressive,1937,"50,001 - 100,000",100,Tricia Griffith,Ohio,Mayfield Village,Insurance
2,TIAA,1918,>10000,93.23,Thasunda Brown Duckett,New York,New York,Banking and Financial Services
3,PayPal,1998,"10,001 - 50,000",93.03,Dan Schulman,California,San Jose,Banking and Financial Services
4,Edgewell Personal Care,2015,"1,001 - 5,000",91.31,Rod R. Little,Connecticut,Shelton,Packaged Goods
5,"Salesforce, Inc.",1999,"10,001 - 50,000",90.94,Marc Benioff,California,San Francisco,IT Software & Services
6,Mutual of Omaha,1909,"5,001 - 10,000",89.8,James T. Blackledge,Nebraska,Omaha,Insurance
7,American Electric Power,1906,"10,001 - 50,000",88.63,Julie Sloat,Ohio,Columbus,Utilities
8,Keysight Technologies,2014,"5,001 - 10,000",88.59,Satish Dhanasekaran,California,Santa Rosa,"Semiconductors, Electronics, Electrical Engineering"
9,TD Bank,1855,"100,001 - 500,000",87.61,Bharat Masrani,New Jersey,Cherry Hill,Banking and Financial Services
10,BlueCross BlueShield of Minnesota,1933,"1,001 - 5,000",87.21,Dana Erickson,Minnesota,Eagan,Insurance
11,American Water,1886,"5,001 - 10,000",87.06,Walter J. Lynch,New Jersey,Camden,Utilities
12,Brown-Forman,1870,"1,001 - 5,000",86.89,Lawson Whiting,Kentucky,Louisville,"Food, Soft Beverages, Alcohol & Tobacco"
13,Cummins,1919,"50,001 - 100,000",86.83,Jennifer Rumsey,Indiana,Columbus,"Engineering, Manufacturing"
14,Intel,1968,"100,001 - 500,000",86.67,Patrick Gelsinger,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering"
15,Ally Financial,1919,"10,001 - 50,000",86.57,Douglas Timmerman,Michigan,Detroit,Banking and Financial Services
16,Miami University,1809,"1,001 - 5,000",86.53,Gregory Crawford,Ohio,Oxford,Education
17,Humana,1961,"50,001 - 100,000",86.49,Bruce D. Broussard,Kentucky,Louisville,Insurance
18,Akamai,1998,"1,001 - 5,000",86.47,Tom Leighton,Massachusetts,Cambridge,IT Software & Services
19,Procter & Gamble,1837,"10,001 - 50,000",86.44,Jon R. Moeller,Ohio,Cincinnati,Packaged Goods
20,Vizient,2016,"1,001 - 5,000",86.36,Byron Jobe,Texas,Irving,Healthcare & Social Services
21,American Express,1850,"10,001 - 50,000",85.55,Stephen J. Squeri,New York,New York,Banking and Financial Services
22,Synchrony Financial,2003,"10,001 - 50,000",85.12,Brian Doubles,Connecticut,Stamford,Banking and Financial Services
23,Workday,2005,"10,001 - 50,000",85.06,Aneel Bhuri,California,Pleasanton,IT Software & Services
24,Johnson & Johnson,1886,"10,001 - 50,000",84.8,Joaquin Duato,New Jersey,New Brunswick,Drugs & Biotechnology
25,Excellus BlueCross BlueShield,1932,"1,001 - 5,000",84.77,James R. Reed,New York,Rochester,Insurance
26,Citigroup,1812,"100,001 - 500,000",84.7,Jane Fraser,New York,New York,Banking and Financial Services
27,Thermo Fisher Scientific,1983,"100,001 - 500,000",84.66,Marc N. Casper,Massachusetts,Waltham,Drugs & Biotechnology
28,Broadridge Financial Solutions,1962,>10000,84.64,Timothy C. Gokey,New York,Lake Success,Banking and Financial Services
29,Stanley Black & Decker,1843,"10,001 - 50,000",84.59,"Donald Allan, Jr.",Connecticut,New Britain,"Semiconductors, Electronics, Electrical Engineering"
30,Brown University,1764,>1000,84.06,Christina Paxson,Rhode Island,Providence,Education
31,Takeda Pharmaceutical,1781,"10,001 - 50,000",83.98,Christophe Weber,Massachusetts,Lexington,Drugs & Biotechnology
32,New York Life,1845,"10,001 - 50,000",83.56,Craig DeSanto,New York,New York,Insurance
33,Cleveland State University,1964,"1,001 - 5,000",83.5,Laura Bloomberg,Ohio,Cleveland,Education
34,"University of California, Berkeley",1868,>10000,83.49,Carol Christ,California,Berkeley,Education
35,Lilly,1876,"10,001 - 50,000",83.21,David A. Ricks,Indiana,Indianapolis,Drugs & Biotechnology
36,Grant Thornton LLP,1924,"5,001 - 10,000",83.16,David Dunckley,Illinois,Chicago,Professional Services
37,AbbVie,2013,"10,001 - 50,000",83.13,Richard A. Gonzalez,Illinois,North Chicago,Drugs & Biotechnology
38,American Family Care,1982,>1000,82.9,Randy Johansen,Alabama,Birmingham,Healthcare & Social Services
39,Cushman & Wakefield,1917,"10,001 - 50,000",82.85,John Forrester,Illinois,Chicago,Business Services & Supplies
40,Zurich North America,1912,"5,001 - 10,000",82.79,Kristof Terryn,Illinois,Schaumburg,Insurance
41,Interpublic Group (IPG),1930,"50,001 - 100,000",82.44,Philippe Krakowsky,New York,New York,Media & Advertising
42,Anywhere Real Estate Inc.,2006,"5,001 - 10,000",82.42,Ryan M. Schneider,New Jersey,Madison,Business Services & Supplies
43,Edward Jones,1922,"10,001 - 50,000",82.29,Penny Pennington,Missouri,St. Louis,Banking and Financial Services
44,BlueCross BlueShield of Michigan,1939,"5,001 - 10,000",82.23,Daniel J. Loepp,Michigan,Detroit,Insurance
45,John Hancock Financial,1862,>5000,82.1,Brooks Tingle,Massachusetts,Boston,Banking and Financial Services
46,Booz Allen Hamilton,1914,"10,001 - 50,000",82.04,Horacio Rozanski,Virginia,McLean,Professional Services
47,Clorox,1913,"5,001 - 10,000",81.94,Linda Rendle,California,Oakland,Packaged Goods
48,General Mills,1866,"10,001 - 50,000",81.72,Jeffrey L. Harmening,Minnesota,Minneapolis,"Food, Soft Beverages, Alcohol & Tobacco"
49,Accenture,1989,"500,001 - 1,000,000",81.72,Julie Sweet,New York,New York,Professional Services
50,Children's Hospital Colorado,1908,"5,001 - 10,000",81.7,Jena Hausmann,Colorado,Aurora,Healthcare & Social Services
51,Cardinal Health,1971,"10,001 - 50,000",81.42,Mike Kaufmann,Ohio,Dublin,Health Care Equipment & Services
