rank,company,founded,employees,score,ceo,state,hq,industry
1,Epic Games,1991,"1,001 - 5,000",100,Tim Sweeney,North Carolina,Cary,Media & Advertising
2,Microsoft,1975,"100,001 - 500,000",98.38,Satya Nadella,Washington,Redmond,IT Software & Services
3,SpaceX,2002,>1000,98.07,Elon Musk,California,Hawthorne,Aerospace & Defense
4,Google,1998,"100,001 - 500,000",97.69,Sundar Pichai,California,Mountain View,IT Software & Services
5,Apple,1976,"100,001 - 500,000",96.29,Tim Cook,California,Cupertino,"Semiconductors, Electronics, Electrical Engineering"
6,Mayo Clinic,1889,"50,001 - 100,000",96.1,Gianrico Farrugia,Minnesota,Rochester,Healthcare & Social Services
7,NASA,1958,"10,001 - 50,000",95.87,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
8,Nike,1964,"50,001 - 100,000",95.6,John Donahoe,Oregon,Beaverton,"Clothing, Shoes, Sports Equipment"
9,University Hospitals,1866,"10,001 - 50,000",95.05,Cliff A. Megerian,Ohio,Cleveland,Healthcare & Social Services
10,Bank of America,1904,"100,001 - 500,000",94.46,Brian Moynihan,North Carolina,Charlotte,Banking and Financial Services
11,Sony,1946,"100,001 - 500,000",94.28,Kenichiro Yoshida,Tokyo,Tokyo,"Semiconductors, Electronics, Electrical Engineering"
12,Lockheed Martin,1912,"100,001 - 500,000",93.76,Jim Taiclet,Maryland,Bethesda,Aerospace & Defense
13,Electronic Arts,1982,"1,001 - 5,000",93.69,Andrew Wilson,California,Redwood City,Media & Advertising
14,Nintendo,1889,"1,001 - 5,000",93.51,Doug Bowser,Washington,Redmond,IT Software & Services
15,JPMorgan Chase,2000,"100,001 - 500,000",93.31,James Dimon,New York,New York,Banking and Financial Services
16,IBM,1911,"100,001 - 500,000",93.12,Arvind Krishna,New York,Armonk,IT Software & Services
17,UCLA Health,1955,"10,001 - 50,000",93.11,John C. Mazziotta,California,Los Angeles,Healthcare & Social Services
18,NVIDIA,1993,"10,001 - 50,000",93.09,Jensen Huang,California,Santa Clara,"Semiconductors, Electronics, Electrical Engineering"
19,New York-Presbyterian Hospital,1998,"10,001 - 50,000",93.02,Steven J. Corwin,New York,New York,Healthcare & Social Services
20,Tesla,2003,"100,001 - 500,000",92.85,Elon Musk,California,Palo Alto,Automotive (Automotive and Suppliers)
21,Advocate Aurora Health,2018,"100,001 - 500,000",91.95,Eugene A. Woods,Wisconsin,Milwaukee,Healthcare & Social Services
22,Verizon Communications,1983,"50,001 - 100,000",91.76,Hans Vestberg,New York,New York,"Telecommunications Services, Cable Supplier"
23,General Dynamics,1952,"50,001 - 100,000",91.32,Phebe N. Novakovic,Virginia,Reston,Aerospace & Defense
24,RTX (formerly Raytheon Technologies),1922,"100,001 - 500,000",91.03,Christopher T. Calio,Massachusetts,Waltham,Aerospace & Defense
25,Pfizer,1849,"10,001 - 50,000",91,Albert Bourla,New York,New York,Drugs & Biotechnology
26,CommonSpirit Health,2019,"100,001 - 500,000",90.96,"Wright L. Lassiter, III",Illinois,Chicago,Healthcare & Social Services
27,St. Jude Children's Research Hospital,1962,"5,001 - 10,000",90.87,James R. Downing,Tennessee,Memphis,Healthcare & Social Services
