rank,company,founded,employees,score,ceo,state,hq,industry
1,General Mills,1866,"10,001 - 50,000",100.00,Jeffrey L. Harmening,Minnesota,Minneapolis,"Food, Soft Beverages, Alcohol & Tobacco"
2,NASA,1958,"10,001 - 50,000",97.53,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
3,Google,1998,"100,001 - 500,000",97.53,Sundar Pichai,California,Mountain View,"IT, Internet, Software & Services"
4,Mayo Clinic,1889,"50,001 - 100,000",96.48,Gianrico Farrugia,Minnesota,Rochester,Healthcare & Social
5,Microsoft,1975,"100,001 - 500,000",96.39,Satya Nadella,Washington,Redmond,"IT, Internet, Software & Services"
6,UCLA Health,1955,"10,001 - 50,000",96.38,John C. Mazziotta,California,Los Angeles,Healthcare & Social
7,Ally Financial,1919,"10,001 - 50,000",96.28,Jeffrey J. Brown,Michigan,Detroit,Banking and Financial Services
8,Fidelity Investments,1946,"50,001 - 100,000",96.14,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
9,LinkedIn,2002,"10,001 - 50,000",96.10,Ryan Roslansky,California,Sunnyvale,"IT, Internet, Software & Services"
10,Delta Air Lines,1924,"50,001 - 100,000",95.26,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
11,Capital One Financial,1994,"50,001 - 100,000",94.99,Richard D. Fairbank,Virginia,McLean,Banking and Financial Services
12,United States Environmental Protection Agency (EPA),1970,"10,001 - 50,000",94.61,Michael S. Regan,District of Columbia,Washington,Government Services
13,Charles Schwab,1971,"10,001 - 50,000",94.48,Walter W. Bettinger II,California,San Francisco,Banking and Financial Services
14,Memorial Sloan Kettering Cancer Center,1884,">10,000",93.04,Selwyn M. Vickers,New York,New York,Healthcare & Social
15,United States Social Security Administration,1935,"50,001 - 100,000",92.97,Kilolo Kijakazi,Maryland,Baltimore,Government Services
16,State of Michigan,1837,"10,001 - 50,000",92.97,Gretchen Whitmer,Michigan,Lansing,Government Services
17,Tampa General Hospital,1927,">5,000",92.95,John Couris,Florida,Tampa,Healthcare & Social
18,American Express,1850,"10,001 - 50,000",92.77,Stephen J. Squeri,New York,New York,Banking and Financial Services
19,IBM,1911,"100,001 - 500,000",92.76,Arvind Krishna,New York,Armonk,"IT, Internet, Software & Services"
20,Boston Children's Hospital,1869,">10,000",92.71,Kevin B. Churchwell,Massachusetts,Boston,Healthcare & Social
21,Pennsylvania State University,1855,"10,001 - 50,000",92.56,Stephen M. Massini,Pennsylvania,State College,Education
22,Virginia Tech,1872,"10,001 - 50,000",92.52,Timothy Sands,Virginia,Blacksburg,Education
23,WakeMed,1961,"10,001 - 50,000",92.26,Donald Gintzig,North Carolina,Raleigh,Healthcare & Social
24,University of Michigan,1817,"50,001 - 100,000",91.92,Santa J. Ono,Michigan,Ann Arbor,Education
25,University of Texas Southwestern Medical Center,1943,"10,001 - 50,000",91.74,Daniel K. Podolsky,Texas,Dallas,Healthcare & Social
26,BAE Systems,1999,"10,001 - 50,000",91.39,Charles Woodburn,Virginia,Falls Church,Aerospace & Defense
27,H-E-B,1905,"100,001 - 500,000",91.27,Charles Butt,Texas,San Antonio,Retail and Wholesale
