rank,company,founded,employees,score,ceo,state,hq,industry
1,Cisco Systems,1990,"1,001 - 5,000",9.28,Chuck Robbins,Ontario,Toronto,"IT, Internet, Software & Services"
2,Environment and Climate Change Canada,1971,"5,001 - 10,000",9.27,Jonathan Wilkinson,Quebec,Gatineau,Government Services
3,Ubisoft,1997,"10,001 - 50,000",9.19,Yves Guillemot,Quebec,Montreal,Media & Advertising
4,University of Guelph,1874,"1,001 - 5,000",9.17,Charlotte Yates,Ontario,Guelph,Education
5,University of Toronto,1827,"10,001 - 50,000",9.17,Meric Gertler,Ontario,Toronto,Education
6,Canadian Mental Health Association,1918,"1,001 - 5,000",9.12,Margaret Eaton,Ontario,Toronto,Healthcare & Social
7,Four Seasons Hotels and Resorts,1960,"1,001 - 5,000",9.10,John Davison,Ontario,Toronto,Travel & Leisure
8,Coca-Cola Bottling Limited (Canada),1896,"5,001 - 10,000",9.08,Todd Parsons,Ontario,Toronto,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
9,Laval University,1852,"5,001 - 10,000",9.06,Sophie D'Amours,Quebec,Québec,Education
10,Hydro-Québec,1944,"10,001 - 50,000",9.04,Sophie Brochu,Quebec,Montreal,Utilities
11,Queen’s University,1841,"5,001 - 10,000",9.03,Patrick Deane,Ontario,Kingston,Education
12,University of Victoria,1963,"501 - 1,000",9.02,Kevin Hall,British Columbia,Victoria,Education
13,Costco Wholesale,1983,"10,001 - 50,000",9.00,W. Craig Jelinek,Ontario,Ottawa,Retail and Wholesale
14,Sheridan College,1967,"1,001 - 5,000",8.99,Janet Morrison,Ontario,Oakville,Education
15,Health Canada / Santé Canada,1993,"10,001 - 50,000",8.99,Patty Hajdu,Ontario,Ottawa,Healthcare & Social
16,Google,1998,"1,001 - 5,000",8.98,Sundar Pichai,Ontario,Toronto,"IT, Internet, Software & Services"
17,Holt Renfrew,1837,"1,001 - 5,000",8.97,Sebastian Picardo,Ontario,Toronto,Retail and Wholesale
18,City of Markham,1972,"1,001 - 5,000",8.97,Frank Scarpitti,Ontario,Markham,Government Services
19,Purolator,1960,"10,001 - 50,000",8.93,John Ferguson,Ontario,Mississauga,Transportation and Logistics
20,SickKids,1875,"10,001 - 50,000",8.93,Dr. Ronald Cohn,Ontario,Toronto,Healthcare & Social
21,Université de Sherbrooke,1954,"5,001 - 10,000",8.92,Pierre Cossette,Quebec,Sherbrooke,Education
22,Air Transat,1987,"5,001 - 10,000",8.89,Jean-Marc Eustache,Quebec,Montreal,Transportation and Logistics
23,McMaster University,1887,"5,001 - 10,000",8.88,David Farrar,Ontario,Hamilton,Education
24,City of Mississauga,1974,"1,001 - 5,000",8.86,Bonnie Crombie,Ontario,Mississauga,Government Services
25,Microsoft,1985,"1,001 - 5,000",8.85,Satya Nadella,Ontario,Mississauga,"IT, Internet, Software & Services"
26,GlaxoSmithKline,1830,"1,001 - 5,000",8.83,Emma Walmsley,Ontario,Mississauga,Drugs & Biotechnology
27,The Co-operators,1945,"5,001 - 10,000",8.83,Rob Wesseling,Ontario,Guelph,Insurances
28,Nike,1964,"50,001 - 100,000",8.82,John Donahoe,Ontario,Toronto,Clothing  (Manufacturing and Retail)
29,University of New Brunswick,1785,"1,001 - 5,000",8.81,Allison D. McCain,New Brunswick,Fredericton,Education
30,General Dynamics,1948,"1,001 - 5,000",8.81,Phebe Novakovic,Ontario,"London, Ontario; Ottawa, Ontario; Montreal, Quebec",Aerospace & Defense
31,University of Windsor,1963,"501 - 1,000",8.80,Robert Gordon,Ontario,Windsor,Education
32,Simon Fraser University,1965,"5,001 - 10,000",8.80,Dr. Joy Johnson,British Columbia,Burnaby,Education
33,AccorHotels,1960,"100,001 - 500,000",8.79,Sebastien Bazin,Ontario,Mississauga,Travel & Leisure
34,Adidas,1924,"50,001 - 100,000",8.78,Kasper Rørsted,Ontario,Woodbridge,Clothing  (Manufacturing and Retail)
35,Newmont Corporation,1921,"1,001 - 5,000",8.78,Tom Palmer,British Columbia,Vancouver,"Construction, Oil & Gas Operations, Mining and Chemicals"
36,Ryerson University,1948,"1,001 - 5,000",8.78,Janice Fukakusa,Ontario,Toronto,Education
37,FedEx,1987,"10,001 - 50,000",8.78,Frederick Smith,Ontario,Mississauga,Transportation and Logistics
38,Sephora,1970,"1,001 - 5,000",8.76,Gregory Bruyer,Ontario,Toronto,Retail and Wholesale
39,Corus Entertainment,1999,"1,001 - 5,000",8.75,Doug Murphy,Ontario,Toronto,Media & Advertising
40,Bell Textron Canada,1960,"1,001 - 5,000",8.75,Mitch Snyder,Quebec,Mirabel,Aerospace & Defense
41,Public Services and Procurement Canada,1996,"10,001 - 50,000",8.75,Anita Anand,Ontario,Ottawa,Government Services
42,City of Vancouver,1886,"5,001 - 10,000",8.74,Kennedy Stewart,British Columbia,Vancouver,Government Services
43,Western University,1878,"1,001 - 5,000",8.74,Dr. Alan Shepard,Ontario,London,Education
44,ABB,1988,"1,001 - 5,000",8.73,Nathalie Pilon,Quebec,Saint Laurent,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
45,AMD (Canada),1969,"1,001 - 5,000",8.72,Dr. Lisa Su,Ontario,Markham,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
46,"Immigration, Refugees and Citizenship Canada (IRCC)",1994,"5,001 - 10,000",8.72,Yasir Naqvi,Ontario,Toronto,Government Services
47,Intact Financial,1809,"10,001 - 50,000",8.72,Charles Brindamour,Ontario,Toronto,Insurances
48,Intel,1968,"100,001 - 500,000",8.72,Patrick Gelsinger,British Columbia,Vancouver,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
49,VIA Rail Canada,1977,"1,001 - 5,000",8.71,Cynthia Garneau,Quebec,Montreal,Transportation and Logistics
50,Marriott Hotels,1927,"100,001 - 500,000",8.71,Anthony Capuano,Ontario,Mississauga,Travel & Leisure
51,Ericsson,1953,"1,001 - 5,000",8.71,Börje Ekholm,Ontario,Mississauga,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
52,Sleeman Breweries,1988,"1,001 - 5,000",8.71,Jesse Hanazawa,Ontario,Guelph,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
53,MacEwan University,1971,>500,8.70,Annette Trimbee,Alberta,Edmonton,Education
54,Oracle,1984,"100,001 - 500,000",8.70,Safra Catz,Ontario,Mississauga,"IT, Internet, Software & Services"
55,McGill University,1821,"5,001 - 10,000",8.69,Suzanne Fortier,Quebec,Montreal,Education
56,Bank of Canada,1935,"1,001 - 5,000",8.68,Tiff Macklem,Ontario,Ottawa,Banking and Financial Services
57,University of Alberta,1908,"10,001 - 50,000",8.68,Peggy Grritty,Alberta,Edmonton,Education
58,City of Brampton,1853,"1,001 - 5,000",8.68,Harry Schlange,Ontario,Brampton,Government Services
59,City of Ottawa,1855,"10,001 - 50,000",8.68,Jim Watson,Ontario,Ottawa,Government Services
60,Algonquin College of Applied Arts & Technology,1967,"1,001 - 5,000",8.67,Claude Brulé,Ontario,Ottawa,Education
61,University of British Columbia,1908,"10,001 - 50,000",8.67,Santa J. Ono,British Columbia,Vancouver,Education
62,Starbucks,1987,"10,001 - 50,000",8.66,Kevin Johnson,Ontario,Toronto,Restaurants
63,Douglas College,1970,"1,001 - 5,000",8.66,Kathy Denton,British Columbia,New Westminster,Education
64,Waste Management,1968,"1,001 - 5,000",8.65,"James Fish, Jr.",Ontario,Brampton,Utilities
65,Dalhousie University,1818,"5,001 - 10,000",8.64,Deep Saini,Nova Scotia,Halifax,Education
66,Keg Steakhouse & Bar,1971,>500,8.64,David Aisenstat,British Columbia,Richmond,Restaurants
67,Canon,1937,"1,001 - 5,000",8.64,Nobuhiko Kitajima,Ontario,Brampton,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
68,Concordia University,1974,"5,001 - 10,000",8.64,Graham Carr,Quebec,Montreal,Education
69,Cenovus Energy,2009,"1,001 - 5,000",8.64,Alex Pourbaix,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
70,Hershey,1894,"10,001 - 50,000",8.64,Michele Buck,Ontario,Mississauga,"Food, Soft Beverages, Alcohol & Tobacco (including agriculture production)"
71,Dell Canada,1979,"100,001 - 500,000",8.64,Michael Dell,Ontario,North York,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
72,University of Waterloo,1957,"1,001 - 5,000",8.64,Feridun Hamdullahpur,Ontario,Waterloo,Education
73,Veterans Affairs Canada,1944,"1,001 - 5,000",8.63,Lawrence Macaulay,Ontario,Ottawa,Government Services
74,Desjardins,1900,"10,001 - 50,000",8.63,Guy Cormier,Quebec,Lévis,Banking and Financial Services
75,PCL Construction,1906,"1,001 - 5,000",8.61,Dave Filipchuk,Alberta,Edmonton,"Construction, Oil & Gas Operations, Mining and Chemicals"
76,ConocoPhillips,1875,"1,001 - 5,000",8.61,Ryan Lance,Alberta,Calgary,"Construction, Oil & Gas Operations, Mining and Chemicals"
77,Pratt & Whitney,1928,"5,001 - 10,000",8.61,Christopher Calio,Quebec,Longueuil,Aerospace & Defense
78,Government of Saskatchewan,1905,"10,001 - 50,000",8.61,Scott Moe,Saskatchewan,Saskatoon,Government Services
79,Foot Locker,1974,"10,001 - 50,000",8.60,Richard A. Johnson,Ontario,Toronto,Clothing  (Manufacturing and Retail)
80,SAP,1972,"1,001 - 5,000",8.60,Christian Klein,Ontario,Toronto,"IT, Internet, Software & Services"
81,Nova Scotia Liquor Corporation,1930,"1,001 - 5,000",8.60,Greg Hughes,Nova Scotia,Halifax,Government Services
82,BC Hydro,1860,"5,001 - 10,000",8.60,Chris O’Riley,British Columbia,Vancouver,Utilities
83,Browns Shoes,1940,>500,8.60,Michael Brownstein,Quebec,Saint-Laurent,Clothing  (Manufacturing and Retail)
84,Wilfrid Laurier University,1911,"1,001 - 5,000",8.59,Deborah MacLatchy,Ontario,Waterloo,Education
85,Boeing,1929,"1,001 - 5,000",8.59,Dave Calhoun,Manitoba,Winnipeg,Aerospace & Defense
86,Apple,1976,"100,001 - 500,000",8.59,Tim Cook,Ontario,Toronto,"IT, Internet, Software & Services"
87,Université de Montréal,1878,"5,001 - 10,000",8.59,Daniel Jutras,Quebec,Montreal,Education
88,IBM,1911,"1,001 - 5,000",8.59,Arvind Krishna,Ontario,Markham,"IT, Internet, Software & Services"
89,Durham College of Applied Arts and Technology,1967,"1,001 - 5,000",8.59,Don Lovisa,Ontario,Oshawa,Education
90,MDA,1969,"1,001 - 5,000",8.58,Mike Greenley,British Columbia,Richmond,Aerospace & Defense
91,Sony,1946,"501 - 1,000",8.58,Kenichiro Yoshida,Ontario,Toronto,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
92,Porter Airlines,2006,"1,001 - 5,000",8.57,Robert J. Deluce,Ontario,Toronto,Transportation and Logistics
93,Fisheries and Oceans Canada,1868,"10,001 - 50,000",8.57,Bernadette Jordan,Ontario,Ottawa,Government Services
94,Courts Administration Service,2003,"501 - 1,000",8.56,Francine Côté,Ontario,Ottawa,Government Services
95,Mercedes-Benz Canada,1955,"1,001 - 5,000",8.56,Ola Källenius,Ontario,Toronto,Automotive (Automotive and Suppliers)
96,Children's Hospital of Eastern Ontario (CHEO),1974,"1,001 - 5,000",8.56,Alex Munter,Ontario,Ottawa,Healthcare & Social
97,Wyndham Destinations,1981,"10,001 - 50,000",8.56,Geoff Ballotti,New Brunswick,Saint John,Travel & Leisure
98,University of Manitoba,1877,"5,001 - 10,000",8.56,Michael Benarroch,Manitoba,Winnipeg,Education
99,Enterprise Rent-A-Car,1957,"5,001 - 10,000",8.55,Andrew C. Taylor,Ontario,Scarborough,Travel & Leisure
100,Paladin Security,1976,"5,001 - 10,000",8.54,Ashley Cooper,British Columbia,Vancouver,Business Services & Supplies
101,Ottawa Hospital,1845,"10,001 - 50,000",8.54,Cameron Love,Ontario,Ottawa,Healthcare & Social
102,City of Toronto,1834,"10,001 - 50,000",8.54,John Tory,Ontario,Toronto,Government Services
103,CIMA+,1990,"1,001 - 5,000",8.54,François Plourde,Quebec,Laval,"Engineering, Manufacturing"
104,RBC,1864,"50,001 - 100,000",8.53,David I. McKay,Ontario,Toronto,Banking and Financial Services
105,Shared Health,1973,"5,001 - 10,000",8.53,Adam Topp,Manitoba,Winnipeg,Healthcare & Social
106,Nokia,1865,"1,001 - 5,000",8.53,Rajeev Suri,Ontario,Ottawa,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
