rank,company,founded,employees,score,ceo,state,hq,industry
1,The California Institute of Technology (Caltech),1891,"1,001 - 5,000",100.00,Thomas F. Rosenbaum,California,Pasadena,Education
2,Excellus BlueCross BlueShield,1932,"1,001 - 5,000",95.27,James R. Reed,New York,Rochester,Insurance
3,SoFi,2011,"1,001 - 5,000",93.95,Anthony Noto,California,San Fransisco,Banking and Financial Services
4,Dexcom,1999,"1,001 - 5,000",93.38,Kevin Sayer,California,San Diego,Health Care Equipment & Services
5,Keysight Technologies,2014,"1,001 - 5,000",93.32,Satish Dhanasekaran,California,Santa Rosa,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
6,Atmos Energy,1906,"1,001 - 5,000",92.86,Kevin Akers,Texas,Dallas,Utilities
7,University of Tennessee Medical Center,1956,">1,000",92.78,Joseph R. Landsman,Tennessee,Knoxville,Healthcare & Social
8,Gentex Corporation,1974,"1,001 - 5,000",91.56,Steve Downing,Michigan,Zeeland,Automotive (Automotive and Suppliers)
9,Financial Industry Regulatory Authority (FINRA),2007,"1,001 - 5,000",91.38,Robert W. Cook,District of Columbia,Washington,Government Services
10,Cleveland State University,1964,"1,001 - 5,000",90.92,Laura Bloomberg,Ohio,Cleveland,Education
11,Sacramento Municipal Utility District,1923,"1,001 - 5,000",90.56,Paul Lau,California,Sacramento,Utilities
12,"Olathe School District, Olathe, KS",1965,"1,001 - 5,000",89.72,Brent Yeager,Kansas,Olathe,Education
13,Shelter Insurance,1946,"1,001 - 5,000",89.72,Randa Rawlins,Missouri,Columbia,Insurance
14,Hologic,1986,"5,001 - 10,000",89.27,Stephen P. Macmillan,Massachusetts,Marlborough,Health Care Equipment & Services
15,DPR Construction,1990,"5,001 - 10,000",89.25,Peter Nosler Ron Davidowski,California,Redwood City,"Construction, Oil & Gas Operations, Mining and Chemicals"
16,Digi-Key Electronics,1972,"5,001 - 10,000",89.17,Dave Doherty,Minnesota,Thief River Falls,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
17,BlueCross BlueShield of North Carolina,1933,"1,001 - 5,000",89.08,Tunde Sotunde,North Carolina,Durham,Insurance
18,UScellular,1983,"1,001 - 5,000",88.52,Laurent Therivel,Illinois,Chicago,"Telecommunications Services, Cable Supplier"
19,Devon Energy,1971,"1,001 - 5,000",88.50,Rick Muncrief,Oklahoma,Oklahoma City,"Construction, Oil & Gas Operations, Mining and Chemicals"
20,Finance of America Companies,2013,"1,001 - 5,000",88.47,Graham Fleming,Texas,Irving,Banking and Financial Services
21,"1-800 CONTACTS, INC.",1995,">1,000",88.27,John Graham,Utah,Draper,Retail and Wholesale
22,LUSH Fresh Handmade Cosmetics,1995,"10,001 - 50,000",88.06,Mark Constantine,British Columbia,Vancouver,Retail and Wholesale
23,Guidewire Software,2001,"1,001 - 5,000",87.92,Mike Rosenbaum,California,San Mateo,"IT, Internet, Software & Services"
24,Oklahoma Gas & Electric,1902,"1,001 - 5,000",87.84,Sean Trauschke,Oklahoma,Oklahoma City,"Construction, Oil & Gas Operations, Mining and Chemicals"
25,Kodak Alaris,2013,"1,001 - 5,000",87.82,Paul Wells,New York,Rochester,"IT, Internet, Software & Services"
26,Ames Construction,1960,"1,001 - 5,000",87.73,Jerry Ouimet,Minnesota,Burnsville,"Construction, Oil & Gas Operations, Mining and Chemicals"
27,Esri,1969,"1,001 - 5,000",87.46,Jack Dangermond,California,Redlands,"IT, Internet, Software & Services"
28,Delta Dental,1955,">1,000",87.45,Mike Castro,California,San Francisco,Insurance
29,Syracuse University,1870,"1,001 - 5,000",87.37,Kent Syverud,New York,Syracuse,Education
30,STIHL,1926,"1,001 - 5,000",87.30,Michael Traub,Virginia,Virginia Beach,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
31,"Pinellas County, FL",1911,"1,001 - 5,000",86.97,Barry A. Burton,Florida,Clearwater,Government Services
32,PTC,1985,"1,001 - 5,000",86.12,James Heppelmann,Massachusetts,Boston,"IT, Internet, Software & Services"
33,Arkansas Blue Cross and Blue Shield,1929,"1,001 - 5,000",85.80,Curtis Barnett,Arkansas,Little Rock,Insurance
34,Union Home Mortgage,1970,">1,000",85.74,Bill Cosgrove,Ohio,Strongsville,Banking and Financial Services
35,PCL Construction,1906,"1,001 - 5,000",85.72,David Filipchuk,Colorado,Denver,"Construction, Oil & Gas Operations, Mining and Chemicals"
36,New Jersey Manufacturers Insurance Company,1913,"1,001 - 5,000",85.70,Mitch Livingston,New Jersey,West Trenton,Insurance
37,PBF Energy,2008,"1,001 - 5,000",85.69,Thomas J. Nimbley,New Jersey,Parsippany,"Construction, Oil & Gas Operations, Mining and Chemicals"
