rank,company,founded,employees,score,ceo,state,hq,industry
1,Sun City Arizona,1960,201 - 500,100.00,Kat Fimmel,Arizona,Sun City,Travel & Leisure
2,Barton Health,1963,"501 - 1,000",99.76,Clint Purvance,California,South Lake Tahoe,Healthcare & Social
3,ESL Federal Credit Union,1920,"501 - 1,000",98.84,Faheem A. Masood,New York,Rochester,Banking and Financial Services
4,New England Biolabs,1974,201 - 500,96.73,Salvatore Russello,Massachusetts,Ipswich,Drugs & Biotechnology
5,CommunityAmerica Credit Union,1940,"501 - 1,000",96.10,Lisa Ginter,Kansas,Lenexa,Banking and Financial Services
6,ScriptPro,1994,"501 - 1,000",95.95,Mike Coughlin,Kansas,Mission,Drugs & Biotechnology
7,Bethpage Federal Credit Union,1941,"501 - 1,000",95.80,Wayne N. Grossé,New York,Bethpage,Banking and Financial Services
8,Atlantic Club,1977,"501 - 1,000",95.26,Patricia Laus,New Jersey,Manasquan,Healthcare & Social
9,Craig Hospital,1907,"501 - 1,000",95.11,Jandel Allen-Davis,Colorado,Englewood,Healthcare & Social
10,"Riddleberger Brothers, Inc.",1940,201 - 500,94.58,Daniel Blosser,Virginia,Mt. Crawford,"Construction, Oil & Gas Operations, Mining and Chemicals"
11,"Sabre Systems, Inc",1989,201 - 500,94.49,Philip P. Jaurigue,Pennsylvania,Warminster,"IT, Internet, Software & Services"
12,Graniterock,1900,"501 - 1,000",94.42,Peter Lemon,California,Watsonville,"Construction, Oil & Gas Operations, Mining and Chemicals"
13,Shutts & Bowen,1910,"501 - 1,000",94.40,Jack C. McElroy,Florida,Miami,Professional Services
14,John A Logan College,1967,201 - 500,94.32,Kirk Overstreet,Illinois,Carterville,Education
15,Capital Insurance Group,1898,201 - 500,94.28,Andrew J. Doll,California,Monterey,Insurance
16,Robert Wood Johnson Foundation,1972,201 - 500,94.14,Richard E. Besser,New Jersey,Princeton,Business Services & Supplies
17,Pellissippi State Community College,1974,"501 - 1,000",93.99,L. Anthony Wise,Tennessee,Knoxville,Education
18,Zoo Atlanta,1889,201 - 500,93.95,Raymond King,Georgia,Atlanta,Travel & Leisure
19,Eastman Credit Union,1934,"501 - 1,000",93.26,Kelly F. Price,Tennessee,Kingsport,Banking and Financial Services
20,Cousins Properties,1958,201 - 500,92.89,Colin Connolly,Georgia,Atlanta,Business Services & Supplies
21,Borsheims,1870,201 - 500,92.53,Karen Goracke,Nebraska,Omaha,Retail and Wholesale
22,Nashville Electric Service,1939,"501 - 1,000",92.51,Teresa Broyles-Aplin,Tennessee,Nashville,Utilities
23,Optimax Systems,1991,201 - 500,92.09,Rick Plympton,New York,Ontario,Aerospace & Defense
24,Educators Credit Union,1937,"501 - 1,000",92.00,Linda Hoover,Wisconsin,Mount Pleasant,Banking and Financial Services
25,Psomas,1946,"501 - 1,000",91.93,Steve Margaroni,California,Los Angeles,"Engineering, Manufacturing"
26,Pierce Transit,1980,"501 - 1,000",91.85,Mike Griffus,Washington,Lakewood,Transportation and Logistics
27,The Bank of Missouri,1891,"501 - 1,000",91.85,Adrian Breen,Missouri,Perryville,Banking and Financial Services
28,Ice Miller LLP,1910,"501 - 1,000",91.74,Michael E. Millikan,Indiana,Indianapolis,Professional Services
29,Meriwest Credit Union,1961,201 - 500,91.60,Lisa Pesta,California,San Jose,Banking and Financial Services
30,Hillsides,1913,201 - 500,91.52,Stacey R. Roth,California,Los Angeles,Healthcare & Social
31,Andersen Construction,1950,"501 - 1,000",91.44,Joel Andersen,Oregon,Portland,"Construction, Oil & Gas Operations, Mining and Chemicals"
32,Curtis Lumber,1890,"501 - 1,000",91.43,Jay S. Curtis,New York,Ballston Spa,Retail and Wholesale
33,PJM Interconnection,1927,"501 - 1,000",91.36,Manu Asthana,Pennsylvania,Audubon,Utilities
34,Identiv,2007,201 - 500,91.18,Steven Humphreys,California,Fremont,"IT, Internet, Software & Services"
35,Assurance Technology Corporation,1969,201 - 500,91.16,Larue Renfroe,Massachusetts,Carlisle,Aerospace & Defense
36,North Iowa Area Community College,1918,201 - 500,91.15,Steve Schulz,Iowa,Mason City,Education
37,Northeast Community College,1973,"501 - 1,000",91.12,Leah Barrett,Nebraska,Norfolk,Education
38,Columbus Community Hospital,1899,"501 - 1,000",91.10,Michael Hansen,Nebraska,Columbus,Healthcare & Social
39,University of Mount Union,1846,201 - 500,91.09,Gregory L. King,Ohio,Alliance,Education
40,"Mountain West Financial, Inc.",1990,201 - 500,91.01,Mike Delehanty,California,Redlands,Banking and Financial Services
41,Loras College,1839,201 - 500,91.00,James E. Collins,Iowa,Dubuque,Education
42,Brooks Instrument,1946,"501 - 1,000",90.88,John H. Reinhart,Pennsylvania,Hatfield,"Engineering, Manufacturing"
43,CME Associates,1983,201 - 500,90.80,Andy Paluri,New Jersey,Parlin,"Engineering, Manufacturing"
44,Sunflower Electric Power Corporation,1957,201 - 500,90.77,Todd Hillman,Kansas,Hays,Utilities
45,Jefferson College,1963,201 - 500,90.42,Dena McCaffrey,Michigan,Hillsboro,Education
46,Fike,1945,"501 - 1,000",90.40,Brad Batz,Missouri,Blue Springs,"Engineering, Manufacturing"
47,Taylor Guitars,1974,"501 - 1,000",90.36,Kurt Listug,California,El Cajon,"Engineering, Manufacturing"
48,Royal Credit Union,1964,"501 - 1,000",90.34,Brandon Riechers,Wisconsin,Eau Claire,Banking and Financial Services
49,Spark Therapeutics,2013,"501 - 1,000",90.17,Ron Philip,Pennsylvania,Philadelphia,Drugs & Biotechnology
50,Oxagile,2005,201 - 500,90.17,Dmitry Karpovich,New York,New York,"IT, Internet, Software & Services"
51,Breezy Point Resort,1922,201 - 500,90.14,Bob Spizzo,Minnesota,Breezy Point,Travel & Leisure
52,Bricker Graydon,1945,201 - 500,90.12,James F. Flynn,Ohio,Columbus,Professional Services
53,Hopewest,1993,201 - 500,90.12,Cassie Mitchell,Colorado,Grand Junction,Healthcare & Social
54,Isothermal Community College,1964,201 - 500,90.10,Walton Dalton,North Carolina,Spindale,Education
55,PDF Solutions,1992,201 - 500,90.10,John K. Kibarian,California,Santa Clara,"IT, Internet, Software & Services"
56,Oklahoma Medical Research Foundation,1946,201 - 500,90.05,Andrew Weyrich,Oklahoma,Oklahoma City,Drugs & Biotechnology
57,Centier Bank,1895,"501 - 1,000",89.90,Michael E. Schrage,Indiana,Merrillville,Banking and Financial Services
58,"The Hockaday School, Dallas, TX",1913,201 - 500,89.87,Laura Leathers,Texas,Dallas,Education
59,Avion Solutions,1992,201 - 500,89.87,Evan Wagner,Alabama,Huntsville,Aerospace & Defense
60,Oakland Hills Country Club,1906,201 - 500,89.81,Matt Dossey,Michigan,Bloomfield Twp.,Travel & Leisure
61,Dupaco Credit Union,1948,"501 - 1,000",89.79,Joseph F. Hearn,Iowa,Dubuque,Banking and Financial Services
62,Longwood Gardens,1906,"501 - 1,000",89.78,Paul B. Redman,Pennsylvania,Kennett Square,Travel & Leisure
63,DeZURIK,1928,"501 - 1,000",89.76,Bryan Burns,Minnesota,Sartell,"Engineering, Manufacturing"
64,Hartzell Propeller,1917,201 - 500,89.75,JJ Frigge,Ohio,Piqua,Aerospace & Defense
65,Mid-State Technical College,1913,201 - 500,89.72,Shelly Mondeik,Wisconsin,Wisconsin Rapids,Education
66,Fox World Travel,1960,201 - 500,89.71,Chip Juedes,Wisconsin,Oshkosh,Business Services & Supplies
67,Rose-Hulman Institute of Technology,1874,"501 - 1,000",89.61,Robert A. Coons,Indiana,Terre Haute,Education
68,Productivity Inc,1968,201 - 500,89.58,Greg Buck,Minnesota,Plymouth,"Engineering, Manufacturing"
69,Trib Total Media,1992,201 - 500,89.53,Jennifer Bertetto,Pennsylvania,Tarentum,Media & Advertising
70,Ascent Resources,2013,201 - 500,89.52,Jeff Fisher,Oklahoma,Oklahoma City,"Construction, Oil & Gas Operations, Mining and Chemicals"
71,Roaring Fork Transportation Authority,1983,201 - 500,89.51,Dan Blankenship,Colorado,Aspen,Transportation and Logistics
72,"Universal Technical Resource Services, Inc. (UTRS)",1985,201 - 500,89.49,Albert Zalcmann,New Jersey,Cherry Hill,Aerospace & Defense
73,Best Fitness,1996,"501 - 1,000",89.43,David Dos Santos,New Hampshire,Nashua,Healthcare & Social
74,Wisconsin Aluminum Foundry Co.,1909,"501 - 1,000",89.42,Sachin Shivaram,Wisconsin,Manitowoc,"Engineering, Manufacturing"
75,"USA Compression Partners, LP",1998,"501 - 1,000",89.33,Eric D. Long,Texas,Austin,"Construction, Oil & Gas Operations, Mining and Chemicals"
76,University of Dubuque,1852,201 - 500,89.29,Jeffrey F. Bullock,Iowa,Dubuque,Education
77,Environmental Restoration LLC,1998,201 - 500,89.22,Dennis Greaney,Missouri,Saint Louis,Business Services & Supplies
78,Franklin International,1935,201 - 500,89.20,Tom Williams,Ohio,Columbus,"Construction, Oil & Gas Operations, Mining and Chemicals"
79,Wofford College,1854,201 - 500,89.16,Nayef H. Samhat,South Carolina,Spartanburg,Education
80,Heritage Community of Kalamazoo,1945,201 - 500,89.15,Jay Prince,Michigan,Kalamazoo,Healthcare & Social
81,"Surescripts, LLC",2001,"501 - 1,000",89.13,Frank Harvey,Virginia,Arlington,"IT, Internet, Software & Services"
82,Camden National Bank,1875,"501 - 1,000",89.09,Gregory A. Dufour,Maine,Camden,Banking and Financial Services
83,Aquarium Of The Pacific,1998,201 - 500,89.07,Dr. Peter Kareiva,California,Long Beach,Travel & Leisure
84,College of the Desert,1958,"501 - 1,000",89.02,Joel Kinnamon,California,Palm Desert,Education
85,"Le Sueur, Incorporated",1946,201 - 500,89.00,Dick Seidenstricker,Minnesota,Le Sueur,"Construction, Oil & Gas Operations, Mining and Chemicals"
86,DHI Group,1990,201 - 500,88.99,Art Zeile,New York,New York,"IT, Internet, Software & Services"
87,Sellen Construction,1944,"501 - 1,000",88.98,Scott Redman,Washington,Seattle,"Construction, Oil & Gas Operations, Mining and Chemicals"
88,Cobb EMC,1938,201 - 500,88.96,Kevan Espy,Georgia,Marietta,Utilities
89,McLennan Community College,1965,"501 - 1,000",88.96,Johnette McKown,Texas,Waco,Education
90,Bartlett & West,1951,201 - 500,88.90,Keith Warta,Kansas,Topeka,"Engineering, Manufacturing"
91,Mcafee And Taft,1952,201 - 500,88.89,Michael F. Lauderdale,Oklahoma,Oklahoma City,Professional Services
92,INRIX,2005,201 - 500,88.86,Bryan Mistele,Washington,Kirkland,"IT, Internet, Software & Services"
93,Practising Law Institute,1933,201 - 500,88.84,Sharon L. Crane,New York,New York,Professional Services
94,Doximity,2010,"501 - 1,000",88.83,Jeff Tangney,California,San Francisco,"IT, Internet, Software & Services"
95,Ceros,2012,201 - 500,88.82,Simon Berg,New York,New York,"IT, Internet, Software & Services"
96,Mister Kleen Maintenance Company,1976,"501 - 1,000",88.79,"Ernest Clark, Jr.",Virginia,Alexandria,Business Services & Supplies
97,College of the Sequoias,1926,"501 - 1,000",88.72,Brent Calvin,California,Visalia,Education
98,Tompkins Cortland Community College,1968,201 - 500,88.69,Orinthia T. Montague,New York,Dryden,Education
99,Phillips Exeter Academy,1781,"501 - 1,000",88.68,Bill Rawson,New Hampshire,Exeter,Education
100,Treasure Valley Community College,1962,201 - 500,88.58,Dana Young,Oregon,Ontario,Education
101,MasterControl,1993,"501 - 1,000",88.56,Jon Beckstrand,Utah,Salt Lake City,"IT, Internet, Software & Services"
102,Toyota Knoxville,1957,201 - 500,88.52,Doug White,Tennessee,Knoxville,Automotive (Automotive and Suppliers)
103,Dudek,1980,"501 - 1,000",88.40,Joe Monaco,California,Encinitas,Business Services & Supplies
104,Casper College,1945,"501 - 1,000",88.38,Darren Divine,Wyoming,Casper,Education
105,National Park College,1973,201 - 500,88.34,John Hogan,Arkansas,Hot Springs,Education
106,Cambridge Systematics,1972,201 - 500,88.34,Brad Wright,Massachusetts,Medford,Transportation and Logistics
107,Gladstone Institutes,1979,201 - 500,88.21,Deepak Srivastava,California,San Francisco,Drugs & Biotechnology
108,Glacier Bank,1955,201 - 500,88.19,Randall M. Chesler,Montana,Kalispell,Banking and Financial Services
109,Dallas Cowboys,1960,201 - 500,88.12,Jerry Jones,Texas,Frisco,Travel & Leisure
110,Massachusetts College of Art and Design,1873,"501 - 1,000",88.12,Kymberly Pinder,Massachusetts,Boston,Education
111,Connexus Energy,1937,201 - 500,88.11,Greg Ridderbusch,Minnesota,Ramsey,Utilities
112,Apr Supply Co,1922,201 - 500,88.08,Scott Weaver,Pennsylvania,Lebanon,Retail and Wholesale
113,Alma College,1886,201 - 500,88.06,Jeff Abernathy,Michigan,Alma,Education
