rank,company,founded,employees,score,ceo,state,hq,industry
1,Commonwealth Fusion,2018,>50,100.00,Bob Mumgaard,Massachusetts,Cambridge,Energy & Resources
2,Corvus Insurance,2017,>50,99.34,Madhu Tadikonda,Massachusetts,Boston,Finance
3,Our Next Energy,2020,>50,99.25,Mujeeb Ijaz,Michigan,Novi,Energy & Resources
4,NOIRLab,2019,>50,99.25,Patrick McCarthy,Arizona,Tucson,Education & EdTech
5,Span.IO,2018,>50,99.15,Arch Rao,California,San Francisco,Energy & Resources
6,Postscript,2018,>50,99.05,Adam Turner,California,San Francisco,Advertising & Marketing
7,Cribl,2017,>50,99.05,Clint Sharp,California,San Francisco,Business Products & Software Services
8,Tomorrow.io,2016,>50,98.95,Shimon Elkabetz,Massachusetts,Boston,Business Products & Software Services
9,Plus,2016,>50,98.95,David Liu,California,Santa Clara,Technology
10,Mission Lane,2018,>50,98.85,Shane Holdaway,California,San Francisco,Finance
11,CyberCube,2015,>50,98.85,Pascal Millaire,California,San Francisco,Business Products & Software Services
12,The Good Food Institute,2016,>50,98.83,Bruce Friedrich,District of Columbia,Washington,Lifestyle & Health
13,Perch,2019,>50,98.75,Chris Bell,Massachusetts,Boston,Retail
14,Remote,2019,>50,98.65,Job van der Voort,California,San Francisco,Business Products & Software Services
15,SeekOut,2017,>50,98.58,Anoop Gupta,Washington,Bellevue,Technology
16,VAST Data,2016,>50,98.55,Renen Hallak,New York,New York,Technology
17,Public.com,2019,>50,98.55,Jannick Malling,New York,New York,Technology
18,Snappr,2017,>50,98.45,Matt Schiller,California,San Francisco,Retail
19,Atrium Insights,2018,>50,98.45,Chris Heineken,Montana,Bozeman,Technology
20,Origin,2018,>50,98.35,Matt Watson,Massachusetts,Boston,Finance
21,Sonatus,2018,>50,98.30,Jeff Chou,California,Sunnyvale,Technology
22,Abnormal Security,2018,>50,98.27,Evan Reiser,California,San Francisco,Security
23,OneRail,2018,>50,98.25,Bill Catania,Florida,Orlando,Transportation & Logistics
24,Route,2018,>50,98.14,Evan Walker,Utah,Lehi,Business Products & Software Services
25,Ridgeline,2018,>50,98.05,Dave Duffield,Nevada,Incline Village,Business Products & Software Services
26,TimelyMD,2017,>50,97.96,Luke Hejl,Texas,Fort Worth,Healthcare
27,Creative Force,2019,>50,97.96,Thomas Kragelund,California,San Francisco,Business Products & Software Services
28,Immuta,2015,>50,97.86,Matthew Carroll,Massachusetts,Boston,Technology
29,Nozomi Networks,2017,>50,97.86,Lukas Biewald,California,San Francisco,Security
30,Weights & Biases,2013,>50,97.86,Edgard Capdevielle,California,San Francisco,Technology
31,Ramp,2019,>50,97.85,Eric Glyman,New York,New York,Finance
32,Level,2018,>50,97.80,Paul Aaron,New York,New York,Finance
33,Place,2020,>50,97.76,Ben Kinney / Chris Suarez,Washington,Bellingham,Real Estate
34,Braintrust,2019,>50,97.76,Brandon Metcalf,California,San Francisco,Business Products & Software Services
35,Hedera Hashgraph,2018,>50,97.76,Adam Jackson,Nevada,Las Vegas,Technology
36,Noname Security,2020,>50,97.66,Oz Golan,California,San Jose,Security
37,AiDash,2019,>50,97.56,Abhishek Vinod Singh,California,San Jose,Technology
38,Whatnot,2019,>50,97.56,Grant LaFontaine,California,Marina Del Rey,Retail
39,Kairos Power,2016,>50,97.49,Mike Laufer,California,Alameda,Energy & Resources
40,Legacy,2018,>50,97.46,Khaled Kteily,Illinois,Chicago,Biotechnology & Agriculture
41,Chronosphere,2019,>50,97.46,Martin Mao,New York,New York,Technology
42,Connecteam,2016,>50,97.46,Amir Nehemia,New York,New York,Business Products & Software Services
43,Terminal,2016,>50,97.36,Clay Kellogg,California,San Francisco,Business Products & Software Services
44,HYCU,2018,>50,97.26,Simon Taylor,Massachusetts,Boston,Technology
45,Capacity,2017,>50,97.26,David Karandish,Missouri,Saint Louis,Technology
46,Voltus,2016,>50,97.24,Gregg Dixon,California,San Francisco,Energy & Resources
47,Axiom Space,2016,>50,97.07,Michael Suffredini,Texas,Houston,Manufacturing
48,OXIO,2018,>50,97.06,Nicolas Girard,New York,New York,Business Products & Software Services
49,Leap,2018,>50,96.99,Amish Tolia / Jared Golden,New York,New York,Retail
50,Element5,2019,>50,96.96,Joe Randesi,California,San Jose,Technology
51,JupiterOne,2018,>50,96.86,Erkang Zheng,North Carolina,Morrisville,Security
52,VergeSense,2017,>50,96.86,Dan Ryan,California,San Francisco,Business Products & Software Services
53,Material Bank,2018,>50,96.78,Adam I. Sandow,Florida,Boca Raton,Retail
54,Lunar Energy,2020,>50,96.76,Kunal Girotra,California,Mountain View,Energy & Resources
