rank,company,founded,employees,score,ceo,state,hq,industry
1,United States Department of Energy,1977,">10,000",100.00,Jennifer M. Granholm,District of Columbia,Washington,Government Services
2,Ricoh USA,1936,"50,001 - 100,000",99.10,Carsten Bruhn,Pennsylvania,Malvern,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
3,Mallinckrodt Pharmaceuticals,1867,"1,001 - 5,000",99.04,Sigurdur Olafsson,England,Staines-Upon-Thames,Drugs & Biotechnology
4,Southwest Airlines,1967,"50,001 - 100,000",98.33,Robert E. Jordan,Texas,Dallas,Transportation and Logistics
5,Google,1998,"100,001 - 500,000",97.31,Sundar Pichai,California,Mountain View,"IT, Internet, Software & Services"
6,Christiana Care Health System,1888,"10,001 - 50,000",97.14,Janice E. Nevin,Delaware,Newark,Healthcare & Social
7,Duke Energy,1904,"10,001 - 50,000",96.15,Lynn J. Good,North Carolina,Charlotte,Utilities
8,Steel Dynamics,1993,">5,000",96.13,Mark D. Millet,Indiana,Fort Wayne,"Engineering, Manufacturing"
9,H-E-B,1905,"100,001 - 500,000",95.53,Charles Butt,Texas,San Antonio,Retail and Wholesale
10,Lockheed Martin,1912,"100,001 - 500,000",95.32,James D. Taiclet,Maryland,Bethesda,Aerospace & Defense
11,Alpha Baking Company,1979,">1,000",95.21,Lawrence L. Marcucci,Illinois,Chicago,"Food, Soft Beverages, Alcohol & Tobacco"
12,Fidelity Investments,1946,"50,001 - 100,000",95.16,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
13,Cleveland-Cliffs,1847,"10,001 - 50,000",94.72,Lourenco Goncalves,Ohio,Cleveland,"Construction, Oil & Gas Operations, Mining and Chemicals"
14,Capital One Financial,1994,"50,001 - 100,000",94.71,Richard D. Fairbank,Virginia,McLean,Banking and Financial Services
15,Aerojet Rocketdyne,1915,"5,001 - 10,000",94.69,Eileen P. Drake,California,El Segundo,Aerospace & Defense
16,EBSCO Information Services,1984,">1,000",94.59,Tim Collins,Massachusetts,Ipswich,Business Services & Supplies
17,Interpublic Group (IPG),1930,"50,001 - 100,000",94.55,Philippe Krakowsky,New York,New York,Media & Advertising
18,Office of the Director of National Intelligence (ODNI),2005,">1,000",93.82,Avril Haines,District of Columbia,Washington,Government Services
19,Boeing,1916,"100,001 - 500,000",93.82,David L. Calhoun,Illinois,Chicago,Aerospace & Defense
20,"California State University, Fullerton",1962,">1,000",93.74,Framoze Virjee,California,Fullerton,Education
21,L3Harris,2019,"10,001 - 50,000",93.58,Christopher E. Kubasik,Florida,Melbourne,Aerospace & Defense
22,Northwell Health,1997,"50,001 - 100,000",93.53,Michael Dowling,New York,Great Neck,Healthcare & Social
23,Delta Air Lines,1924,"50,001 - 100,000",93.34,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
24,Acorn Engineering Company,1954,">1,000",93.04,Jonathan Coiley,California,City of Industry,"Engineering, Manufacturing"
25,Auto-Owners Insurance,1916,"5,001 - 10,000",92.76,Jeffrey S. Tagsold,Michigan,Lansing,Insurance
26,Merck,1891,"10,001 - 50,000",92.62,Robert M. Davis,New Jersey,Kenilworth,Drugs & Biotechnology
27,Spectrum,1993,"50,001 - 100,000",92.54,Christopher Winfrey,Connecticut,Stamford,"Telecommunications Services, Cable Supplier"
28,United States General Services Administration,1949,"10,001 - 50,000",92.35,Robin Carnahan,District of Columbia,Washington,Government Services
29,salesforce.com,1999,"10,001 - 50,000",92.33,Marc Benioff,California,San Francisco,"IT, Internet, Software & Services"
30,Chevron,1879,"10,001 - 50,000",92.15,Michael K. Wirth,California,San Ramon,"Construction, Oil & Gas Operations, Mining and Chemicals"
31,BMW Group,1975,"100,001 - 500,000",91.79,Sebastian Mackensen,New Jersey,Woodcliff Lake,Automotive (Automotive and Suppliers)
32,Northrop Grumman Corporation,1939,"50,001 - 100,000",91.55,Kathy Warden,Virginia,Falls Church,Aerospace & Defense
33,Microsoft,1975,"100,001 - 500,000",91.41,Satya Nadella,Washington,Redmond,"IT, Internet, Software & Services"
34,ACE Hardware,1924,">5,000",91.40,John Venhuizen,Illinois,Oak Brook,Retail and Wholesale
35,NTT Data,1988,"10,001 - 50,000",91.17,Yo Honma,Texas,Plano,"IT, Internet, Software & Services"
36,Prisma Health,1998,"10,001 - 50,000",91.17,Mark S. O’Halla,South Carolina,Greenville,Healthcare & Social
37,Uline,1980,"5,001 - 10,000",91.00,Dick Uline,Wisconsin,Pleasant Prairie,Packaged Goods
38,NASA,1958,"10,001 - 50,000",90.99,Bill Nelson,District of Columbia,Washington,Aerospace & Defense
39,CACI International,1962,"10,001 - 50,000",90.96,John S. Mengucci,Virginia,Arlington,Aerospace & Defense
40,Ford Motor,1903,"100,001 - 500,000",90.82,"James D. Farley, Jr.",Michigan,Dearborn,Automotive (Automotive and Suppliers)
41,Cleveland State University,1964,"1,001 - 5,000",90.78,Laura Bloomberg,Ohio,Cleveland,Education
42,Sumitomo Mitsui Banking Corporation,2001,"1,001 - 5,000",90.75,Makoto Takashima,Tokyo,Tokyo,Banking and Financial Services
43,Procter & Gamble,1837,"10,001 - 50,000",90.56,Jon R. Moeller,Ohio,Cincinnati,Packaged Goods
44,Delta Galil Industries,1975,">10,000",90.53,Isaac Dabah,New York,New York,"Clothing, Shoes, Sports Equipment"
45,Citigroup,1812,"100,001 - 500,000",90.24,Jane Fraser,New York,New York,Banking and Financial Services
46,State of North Carolina,1789,"50,001 - 100,000",90.18,Roy Cooper,North Carolina,Raleigh,Government Services
47,SpaceX,2002,"1,001 - 5,000",90.07,Elon Musk,California,Hawthorne,Aerospace & Defense
48,Medtronic,1949,"50,001 - 100,000",90.06,Geoffrey S. Martha,Minnesota,Minneapolis,Health Care Equipment & Services
49,Progressive,1937,"50,001 - 100,000",90.04,Tricia Griffith,Ohio,Mayfield Village,Insurance
50,Accenture,1989,"500,001 - 1,000,000",90.03,Julie Sweet,New York,New York,Professional Services
51,Ingram Micro,1979,"10,001 - 50,000",89.85,Alain Monié,California,Irvine,Retail and Wholesale
52,Caterpillar,1925,"100,001 - 500,000",89.70,James Umpleby,Illinois,Deerfield,"Engineering, Manufacturing"
53,Tesla,2003,"100,001 - 500,000",89.42,Elon Musk,California,Palo Alto,Automotive (Automotive and Suppliers)
54,Dell Technologies,1984,"10,001 - 50,000",89.34,Michael Dell,Texas,Round Rock,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
55,Michelin Group,1889,"100,001 - 500,000",89.18,Florent Menegaux,South Carolina,Greenville,Automotive (Automotive and Suppliers)
56,AHRC New York City,1948,">1,000",89.08,Marco Damiani,New York,New York,Healthcare & Social
57,Brunswick,1845,"10,001 - 50,000",89.07,David M. Foulkes,Illinois,Lake Forest,"Engineering, Manufacturing"
58,Publix Super Markets,1930,"100,001 - 500,000",88.75,"Randall T. Jones, Sr.",Florida,Lakeland,Retail and Wholesale
59,Cisco Systems,1984,"10,001 - 50,000",88.72,Chuck Robbins,California,San Jose,"IT, Internet, Software & Services"
60,Airbus,1970,"100,001 - 500,000",88.60,Guillaume Faury,South Holland,Leiden,"Engineering, Manufacturing"
61,Bank of America,1904,"100,001 - 500,000",88.40,Brian Moynihan,North Carolina,Charlotte,Banking and Financial Services
62,Charles Schwab,1971,"10,001 - 50,000",88.11,Walter W. Bettinger II,California,San Francisco,Banking and Financial Services
63,RTX (formerly Raytheon Technologies),1922,"100,001 - 500,000",87.94,Gregory J. Hayes,Massachusetts,Waltham,Aerospace & Defense
64,KPMG,1987,"10,001 - 50,000",87.72,Paul Knopp,New York,New York,Professional Services
65,Oracle,1977,"10,001 - 50,000",87.64,Safra A. Catz,California,Redwood Shores,"IT, Internet, Software & Services"
66,Bechtel,1898,"10,001 - 50,000",87.60,Brendan Bechtel,Virginia,Reston,"Construction, Oil & Gas Operations, Mining and Chemicals"
67,AAA Cooper Transportation,1955,"1,001 - 5,000",87.60,Reid Dove,Alabama,Dothan,Transportation and Logistics
68,United Health Services (UHS New York),1981,"5,001 - 10,000",87.55,Marc D. Miller,New York,Binghamton,Healthcare & Social
69,American Savings Bank Hawaii,1925,"1,001 - 5,000",87.40,Ann Teranishi,Hawaii,Honolulu,Banking and Financial Services
70,Wynn Resorts,2002,"10,001 - 50,000",87.40,Craig Billings,Nevada,Las Vegas,Travel & Leisure
71,Costco Wholesale,1983,"100,001 - 500,000",87.29,W. Craig Jelinek,Washington,Issaquah,Retail and Wholesale
72,Huntington Ingalls Industries,2011,"10,001 - 50,000",87.23,Christopher D. Kastner,Virginia,Newport News,Aerospace & Defense
