rank,company,founded,employees,score,ceo,state,hq,industry
1,"Salesforce, Inc.",1999,"5,001 - 10,000",100,Marc Benioff,California,San Francisco,IT Software & Services
2,Alpha Baking Company,1979,"501 - 1,000",97.21,Lawrence L. Marcucci,Illinois,Chicago,"Food, Soft Beverages, Alcohol & Tobacco"
3,Google,1998,"100,001 - 500,000",97.15,Sundar Pichai,California,Mountain View,IT Software & Services
4,Duke Energy,1904,"10,001 - 50,000",96.74,Lynn J. Good,North Carolina,Charlotte,Utilities
5,Ipsos,1975,"10,001 - 50,000",96.34,Lorenzo Larini,Île-de-France,Paris,Business Services & Supplies
6,Lockheed Martin,1912,"100,001 - 500,000",95.27,Jim Taiclet,Maryland,Bethesda,Aerospace & Defense
7,Fidelity Investments,1946,"50,001 - 100,000",94.41,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
8,Microsoft,1975,"100,001 - 500,000",94.05,Satya Nadella,Washington,Redmond,IT Software & Services
9,Northrop Grumman Corporation,1939,"100,001 - 500,000",93.56,Kathy Warden,Virginia,Falls Church,Aerospace & Defense
10,United States Department of Energy,1977,>10000,93.46,Jennifer M. Granholm,District of Columbia,Washington,Government Services
11,Bank of America,1904,"100,001 - 500,000",92.14,Brian Moynihan,North Carolina,Charlotte,Banking and Financial Services
12,Southwest Airlines,1967,"50,001 - 100,000",91.9,Robert E. Jordan,Texas,Dallas,Transportation and Logistics
13,Delta Air Lines,1924,"50,001 - 100,000",91.16,Ed Bastian,Georgia,Atlanta,Transportation and Logistics
14,Booz Allen Hamilton,1914,"10,001 - 50,000",90.91,Horacio Rozanski,Virginia,McLean,Professional Services
15,CACI International,1962,"10,001 - 50,000",90.9,John S. Mengucci,Virginia,Reston,Aerospace & Defense
16,JPMorgan Chase,2000,"100,001 - 500,000",90.7,James Dimon,New York,New York,Banking and Financial Services
17,Oklahoma State University - Stillwater,1890,>1000,90.27,Kayse Shrum,Oklahoma,Stillwater,Education
18,Cisco Systems,1984,"10,001 - 50,000",90.23,Chuck Robbins,California,San Jose,IT Software & Services
19,BMW Group,1975,"100,001 - 500,000",90.11,Sebastian Mackensen,New Jersey,Woodcliff Lake,Automotive (Automotive and Suppliers)
20,Experian Information Solutions,1992,"10,001 - 50,000",90.1,Brian Cassin,California,Costa Mesa,Business Services & Supplies
21,Sumitomo Mitsui Banking Corporation,2001,"1,001 - 5,000",89.69,Makoto Takashima,Tokyo,Tokyo,Banking and Financial Services
22,Alabama Institute for Deaf and Blind,1858,200 - 500,89.22,Dennis Gilliam,Alabama,Talladega,Education
23,H-E-B,1905,"100,001 - 500,000",89.07,Charles Butt,Texas,San Antonio,Retail and Wholesale
24,Progressive,1937,"50,001 - 100,000",88.89,Tricia Griffith,Ohio,Mayfield Village,Insurance
25,Steel Dynamics,1993,"10,001 - 50,000",88.78,Mark D. Millet,Indiana,Fort Wayne,"Engineering, Manufacturing"
26,Anywhere Real Estate Inc.,2006,"5,001 - 10,000",88.57,Ryan M. Schneider,New Jersey,Madison,Business Services & Supplies
27,Ernst & Young,1989,>10000,88.57,Carmine Di Sibio,New York,New York,Professional Services
28,SAP,1972,"100,001 - 500,000",88.25,Lloyd Adams,Pennsylvania,Newtown Square,IT Software & Services
29,22nd Century Technologies,1997,"5,001 - 10,000",87.98,Anil Sharma,New Jersey,Somerset,IT Software & Services
30,Milliken & Company,1865,"5,001 - 10,000",87.92,Halsey M. Cook,South Carolina,Spartanburg,"Engineering, Manufacturing"
31,Mayo Clinic,1889,"50,001 - 100,000",87.63,Gianrico Farrugia,Minnesota,Rochester,Healthcare & Social Services
32,Mediacom Communications,1995,"5,001 - 10,000",87.47,Rocco B. Commisso,New York,Blooming Grove,"Telecommunications Services, Cable Supplier"
33,Caterpillar,1925,"100,001 - 500,000",87.28,James Umpleby,Illinois,Deerfield,"Engineering, Manufacturing"
34,DICK's Sporting Goods,1948,"50,001 - 100,000",87.27,Lauren R. Hobart,Pennsylvania,Coraopolis,Retail and Wholesale
