rank,company,founded,employees,score,ceo,state,hq,industry
1,Tampa General Hospital,1927,"5,001 - 10,000",100.00,John Couris,Florida,Tampa,Healthcare & Social
2,REI,1938,">10,000",96.04,Eric Artz,Washington,Kent,"Clothing, Shoes, Sports Equipment"
3,Crocs,2002,"5,001 - 10,000",95.10,Andrew Rees,Colorado,Broomfield,"Clothing, Shoes, Sports Equipment"
4,EBSCO Information Services,1984,">1,000",95.01,Tim Collins,Massachusetts,Ipswich,Business Services & Supplies
5,Carvana,2012,"10,001 - 50,000",94.06,"Ernie Garcia, III",Arizona,Tempe,Retail and Wholesale
6,L'Oréal USA,1909,"10,001 - 50,000",94.00,David Greenberg,New York,New York,Packaged Goods
7,AstraZeneca,1953,"10,001 - 50,000",93.62,Joris Silon,Delaware,Wilmington,Drugs & Biotechnology
8,Loyola University Chicago,1870,"5,001 - 10,000",93.12,Jo Ann Rooney,Illinois,Chicago,Education
9,SAP,1972,"100,001 - 500,000",92.69,Dj Paoni,Pennsylvania,Newtown Square,"IT, Internet, Software & Services"
10,MD Anderson Cancer Center,1941,"10,001 - 50,000",92.25,Peter WT Pisters,Texas,Houston,Healthcare & Social
11,lululemon athletica,1998,"10,001 - 50,000",92.21,Calvin McDonald,Washington,Sumner,"Clothing, Shoes, Sports Equipment"
12,BlueCross BlueShield of Tennessee,1945,"5,001 - 10,000",92.08,JD Hickey,Tennessee,Chattanooga,Insurance
13,Steelcase,1912,"10,001 - 50,000",91.74,Sara E. Armbruster,Michigan,Grand Rapids,"Engineering, Manufacturing"
14,Help At Home,1975,"10,001 - 50,000",91.35,Chris Hocevar,Illinois,Chicago,Healthcare & Social
15,Cisco Systems,1984,"10,001 - 50,000",90.62,Chuck Robbins,California,San Jose,"IT, Internet, Software & Services"
16,Talbots,1947,">5,000",90.08,Lizanne Kindler,Massachusetts,Hingham,"Clothing, Shoes, Sports Equipment"
17,Southern New Hampshire University,1932,"5,001 - 10,000",89.51,Paul J. LeBlanc,New Hampshire,Manchester,Education
18,Unisys,1986,"10,001 - 50,000",89.14,Peter Altabef,Pennsylvania,Blue Bell,"IT, Internet, Software & Services"
19,BroadPath LLC,2008,">1,000",89.11,Daron Robertson,Arizona,Tuscon,Business Services & Supplies
20,UCLA Health,1955,"10,001 - 50,000",88.78,Johnese Spisso,California,Los Angeles,Healthcare & Social
21,University of Texas Southwestern Medical Center,1943,"10,001 - 50,000",88.58,Daniel K. Podolsky,Texas,Dallas,Healthcare & Social
22,University of South Florida,1956,"10,001 - 50,000",88.45,Rhea Law,Florida,Tampa,Education
23,Booz Allen Hamilton,1914,"10,001 - 50,000",88.15,Horacio Rozanski,Virginia,McLean,Professional Services
24,McKesson,1833,"10,001 - 50,000",88.07,Brian S. Tyler,Texas,Irving,Health Care Equipment & Services
25,LinkedIn,2002,"10,001 - 50,000",87.96,Ryan Roslansky,California,Sunnyvale,"IT, Internet, Software & Services"
26,Cummins,1919,"50,001 - 100,000",87.83,Tom Linebarger,Indiana,Columbus,"Engineering, Manufacturing"
27,Cargill,1865,"100,001 - 500,000",87.82,David MacLennan,Minnesota,Wayzata,"Food, Soft Beverages, Alcohol & Tobacco"
28,Medline Industries,1966,"10,001 - 50,000",87.40,Charlie Mills,Illinois,Northfield,Health Care Equipment & Services
29,Guardian Life Ins. Co. of America,1860,"5,001 - 10,000",87.30,Andrew J. Mcmahon,New York,New York,Insurance
30,Consumers Energy,1886,"5,001 - 10,000",87.27,Garrick J. Rochow,Michigan,Jackson,Utilities
31,University of Utah Health Care,1965,"10,001 - 50,000",86.85,Dan Lundergan,Utah,Salt Lake City,Healthcare & Social
32,General Mills,1866,"10,001 - 50,000",86.77,Jeffrey L. Harmening,Minnesota,Minneapolis,"Food, Soft Beverages, Alcohol & Tobacco"
33,Scripps Health,1924,"10,001 - 50,000",86.71,Chris Van Gorder,California,San Diego,Healthcare & Social
34,BlueCross BlueShield of South Carolina,1946,"10,001 - 50,000",86.68,David Pankau,South Carolina,Columbia,Insurance
35,Novo Nordisk,1923,"10,001 - 50,000",86.16,Lars Fruergaard Jørgensen,New Jersey,Plainsboro,Drugs & Biotechnology
36,Stitch Fix,2011,"10,001 - 50,000",86.13,Elizabeth Spaulding,California,San Francisco,Retail and Wholesale
37,Cincinnati Children's,1883,"10,001 - 50,000",85.85,Steve Davis,Ohio,Cincinnati,Healthcare & Social
38,NFI Industries,1932,"10,001 - 50,000",85.48,Sidney Brown,New Jersey,Camden,Transportation and Logistics
39,Pitney Bowes,1920,"10,001 - 50,000",85.39,Marc B. Lautenbach,Connecticut,Stamford,Transportation and Logistics
40,Michelin Group,1889,"10,001 - 50,000",85.35,Florent Menegaux,South Carolina,Greenville,Automotive (Automotive and Suppliers)
41,University of Rochester Medical Center,1921,"10,001 - 50,000",85.28,Steven I. Goldstein,New York,Rochester,Healthcare & Social
42,AHRC New York City,1948,">1,000",85.24,Marco Damiani,New York,New York,Healthcare & Social
43,Fidelity Investments,1946,"50,001 - 100,000",85.23,Abigail Johnson,Massachusetts,Boston,Banking and Financial Services
44,Sephora,1970,"10,001 - 50,000",85.18,Jean-André Rougeot,California,San Francisco,Retail and Wholesale
45,Dana-Farber Cancer Institute,1947,"5,001 - 10,000",85.12,Laurie H. Glimcher,Massachusetts,Boston,Healthcare & Social
46,Microsoft,1975,"100,001 - 500,000",85.05,Satya Nadella,Washington,Redmond,"IT, Internet, Software & Services"
47,"University of California, Los Angeles",1919,"10,001 - 50,000",84.93,Gene Block,California,Los Angeles,Education
48,Keller Williams Realty,1983,"100,001 - 500,000",84.92,Carl Liebert,Texas,Austin,Business Services & Supplies
49,NiSource,1847,"5,001 - 10,000",84.86,Lloyd Yates,Indiana,Merrillville,Utilities
50,Mutual of Omaha,1909,"5,001 - 10,000",84.85,James T. Blackledge,Nebraska,Omaha,Insurance
51,Blue Buffalo,2003,">1,000",84.79,Bill Bishop,Connecticut,Wilton,"Food, Soft Beverages, Alcohol & Tobacco"
52,Mercedes-Benz USA,1965,"1,001 - 5,000",84.76,Dimitris Psillakis,Georgia,Atlanta,Automotive (Automotive and Suppliers)
53,Adobe,1982,"10,001 - 50,000",84.46,Shantanu Narayen,California,San Jose,"IT, Internet, Software & Services"
54,CHRISTUS Health,1999,"10,001 - 50,000",84.45,Ernie Sadau,Texas,Irving,Healthcare & Social
55,Anywhere,2006,"5,001 - 10,000",84.34,Ryan M. Schneider,New Jersey,Madison,Business Services & Supplies
56,Baptist Health Jacksonville,1955,"10,001 - 50,000",84.20,Michael A. Mayo,Florida,Jacksonville,Healthcare & Social
57,New York Life,1845,">10,000",84.04,Craig DeSanto,New York,New York,Insurance
58,"Polk County Public Schools Polk County, FL",1869,"10,001 - 50,000",83.80,Frederick Heid,Florida,Bartow,Education
59,Unilever,1872,"100,001 - 500,000",83.78,Alan Jope,New Jersey,Englewood Cliffs,Packaged Goods
60,McKee Foods,1934,"5,001 - 10,000",83.66,Mike McKee,Tennessee,Collegedale,"Food, Soft Beverages, Alcohol & Tobacco"
61,Los Angeles Department of Water and Power (LADWP),1902,"10,001 - 50,000",83.57,Martin L. Adams,California,Los Angeles,Utilities
62,Neiman Marcus Group,1907,">10,000",83.55,Geoffroy van Raemdonck,Texas,Dallas,Retail and Wholesale
63,Schneider Electric,1836,"100,001 - 500,000",83.46,Jean-Pascal Tricoire,Massachusetts,Andover,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
64,Sanofi,1973,"10,001 - 50,000",83.45,Paul Hudson,New Jersey,Bridgewater,Drugs & Biotechnology
65,Alaska Airlines,1932,"10,001 - 50,000",83.33,Ben Minicucci,Washington,SeaTac,Transportation and Logistics
66,Duke University Health System,1998,"10,001 - 50,000",83.00,A. Eugene Washington,North Carolina,Durham,Healthcare & Social
67,HealthPartners,1957,"10,001 - 50,000",82.98,Andrea M. Walsh,Minnesota,Bloomington,Healthcare & Social
68,Pfizer,1849,"10,001 - 50,000",82.95,Albert Bourla,New York,New York,Drugs & Biotechnology
69,Maricopa County Community College District,1962,"5,001 - 10,000",82.79,Steven R. Gonzales,Arizona,Tempe,Education
70,Edward Jones,1922,"10,001 - 50,000",82.71,Penny Pennington,Missouri,St. Louis,Banking and Financial Services
71,American Electric Power,1906,"10,001 - 50,000",82.69,Nicholas K. Akins,Ohio,Columbus,Utilities
72,Bright Horizons,1986,"10,001 - 50,000",82.58,Stephen Kramer,Massachusetts,Newton,Education
73,Starbucks,1971,"100,001 - 500,000",82.49,Howard Schultz,Washington,Seattle,Restaurants
74,"Hawaii Department Of Education School District, Honolulu, HI",1840,"10,001 - 50,000",82.49,Keith Hayashi,Hawaii,Honolulu,Education
75,Sorenson,2000,">1,000",82.37,Jorge Rodriguez,Utah,Salt Lake City,"IT, Internet, Software & Services"
76,Accenture,1989,"500,001 - 1,000,000",82.34,Julie Sweet,New York,New York,Professional Services
77,Intuit,1983,"10,001 - 50,000",82.32,Sasan Goodarzi,California,Mountain View,"IT, Internet, Software & Services"
78,American Savings Bank Hawaii,1925,"1,001 - 5,000",82.30,Ann Teranishi,Hawaii,Honolulu,Banking and Financial Services
79,Coca-Cola,1886,"5,001 - 10,000",82.08,James Quincey,Georgia,Atlanta,"Food, Soft Beverages, Alcohol & Tobacco"
80,Zurich North America,1912,"5,001 - 10,000",81.96,Kristof Terryn,Illinois,Schaumburg,Insurance
81,Kent State University,1910,"10,001 - 50,000",81.84,Todd Diacon,Ohio,Kent,Education
82,SAS Institute,1976,"5,001 - 10,000",81.81,Jim Goodnight,North Carolina,Cary,"IT, Internet, Software & Services"
83,Freeman,1927,">5,000",81.74,Bob Priest-Heck,Texas,Dallas,Business Services & Supplies
84,Educational Testing Service,1947,"1,001 - 5,000",81.72,Walt MacDonald,New Jersey,Princeton,Business Services & Supplies
85,American Red Cross,1881,"10,001 - 50,000",81.67,Gail McGovern,District of Columbia,Washington,Healthcare & Social
86,Lands' End,1963,"1,001 - 5,000",81.67,Jerome Griffith,Wisconsin,Dodgeville,"Clothing, Shoes, Sports Equipment"
87,Pentair,1966,"5,001 - 10,000",81.57,John L. Stauch,Minnesota,Minneapolis,"Engineering, Manufacturing"
88,University of Kentucky,1865,"10,001 - 50,000",81.55,Eli Capilouto,Kentucky,Lexington,Education
89,Penn Medicine,1993,"10,001 - 50,000",81.43,Kevin Mahoney,Pennsylvania,Philadelphia,Healthcare & Social
90,The Estée Lauder Companies,1946,"50,001 - 100,000",81.43,Fabrizio Freda,New York,New York,Packaged Goods
91,Sutter Health,1921,"50,001 - 100,000",81.40,James Conforti,California,Sacramento,Healthcare & Social
92,Children's Hospital Colorado,1908,"5,001 - 10,000",81.27,Jena Hausmann,Colorado,Aurora,Healthcare & Social
93,Merck,1891,"10,001 - 50,000",81.13,Robert M. Davis,New Jersey,Kenilworth,Drugs & Biotechnology
94,OhioHealth,1891,"10,001 - 50,000",81.05,Stephen E. Markovich,Ohio,Columbus,Healthcare & Social
95,Teladoc Health,2002,"1,001 - 5,000",80.89,Jason Gorevic,New York,Purchase,Health Care Equipment & Services
96,Franciscan Health,1974,">10,000",80.88,Jim Callaghan,Indiana,Mishawaka,Healthcare & Social
97,Thomson Reuters,2008,"10,001 - 50,000",80.73,Steve Hasker,Minnesota,Eagan,Media & Advertising
98,Jacobs Engineering,1947,"50,001 - 100,000",80.73,Steve Demetriou,Texas,Dallas,"Construction, Oil & Gas Operations, Mining and Chemicals"
99,The University of Kansas Health System,1906,">5,000",80.71,Bob Page,Kansas,Kansas City,Healthcare & Social
100,WL Gore & Associates,1958,"10,001 - 50,000",80.71,Bret Snyder,Delaware,Newark,"Engineering, Manufacturing"
101,ICF International,1969,"5,001 - 10,000",80.69,John Wasson,Virginia,Fairfax,Professional Services
102,Advance Financial,1996,"501 - 1,000",80.68,Tina Hodges,Tennessee,Nashville,Banking and Financial Services
103,Bosch,1886,"10,001 - 50,000",80.68,Mike Mansuetti,Michigan,Farmington Hills,"Engineering, Manufacturing"
104,University of Mississippi Medical Center,1955,"5,001 - 10,000",80.68,Glenn F. Boyce,Mississippi,Jackson,Healthcare & Social
105,In-N-Out Burger,1948,"10,001 - 50,000",80.60,Lynsi Snyder,California,Irvine,Restaurants
106,UF Health,1958,"10,001 - 50,000",80.57,Edward Jimenez,Florida,Jacksonville,Healthcare & Social
107,Arkansas Blue Cross and Blue Shield,1929,"1,001 - 5,000",80.57,Curtis Barnett,Arkansas,Little Rock,Insurance
108,Progressive,1937,"10,001 - 50,000",80.50,Tricia Griffith,Ohio,Mayfield Village,Insurance
109,TD Bank,1855,"10,001 - 50,000",80.50,Bharat Masrani,New Jersey,Cherry Hill,Banking and Financial Services
110,"Elk Grove Unified School District, Elk Grove, CA",1866,"5,001 - 10,000",80.46,Christopher R. Hoffman,California,Elk Grove,Education
111,Flex-N-Gate,1956,"10,001 - 50,000",80.45,Sahid Khan,Illinois,Urbana,Automotive (Automotive and Suppliers)
112,Clayton Homes,1966,"10,001 - 50,000",80.42,Kevin T. Clayton,Tennessee,Maryville,"Engineering, Manufacturing"
113,TDS,1969,"5,001 - 10,000",80.40,"LeRoy T. Carlson, Jr.",Illinois,Chicago,"Telecommunications Services, Cable Supplier"
114,First Horizon National,1864,"5,001 - 10,000",80.39,Bryan Jordan,Tennessee,Memphis,Banking and Financial Services
115,MaineHealth,1987,"10,001 - 50,000",80.21,Andrew T. Mueller,Maine,Portland,Healthcare & Social
116,Inova Health System,1956,"10,001 - 50,000",80.11,J. Stephen Jones,Virginia,Falls Church,Healthcare & Social
117,Trader Joe's,1967,">10,000",80.11,Dan Bane,California,Monrovia,Retail and Wholesale
118,Gartner,1979,"10,001 - 50,000",80.09,Eugene A. Hall,Connecticut,Stamford,Professional Services
119,University of Utah,1850,"10,001 - 50,000",80.03,Taylor R. Randall,Utah,Salt Lake City,Education
120,Williams-Sonoma,1956,"10,001 - 50,000",80.02,Laura Alber,California,San Francisco,Retail and Wholesale
121,NYU Langone Health,1841,">10,000",79.89,Robert I. Grossman,New York,New York,Healthcare & Social
122,Regeneron Pharmaceuticals,1988,"5,001 - 10,000",79.85,Leonard S. Schleifer,New York,Tarrytown,Drugs & Biotechnology
123,Andersen Corporation,1903,"10,001 - 50,000",79.80,Jay R. Lund,Minnesota,Bayport,"Engineering, Manufacturing"
124,Ulta Beauty,1990,"10,001 - 50,000",79.78,Dave Kimbell,Illinois,Bolingbrook,Retail and Wholesale
125,Saint Luke's Health System Kansas City,1882,"10,001 - 50,000",79.73,Melinda L. Estes,Missouri,Kansas City,Healthcare & Social
126,Emory University,1836,"10,001 - 50,000",79.65,Gregory L. Fenves,Georgia,Atlanta,Education
127,"Marion School District, Ocala, FL",1869,"5,001 - 10,000",79.64,Diane  Gullett,Florida,Ocala,Education
128,Kaiser Permanente,1945,"100,001 - 500,000",79.59,Greg A. Adams,California,Oakland,Healthcare & Social
129,"University of Tennessee, Knoxville",1794,"5,001 - 10,000",79.54,Donde Plowman,Tennessee,Knoxville,Education
130,BlueCross BlueShield of Nebraska,1939,">1,000",79.53,Steven Grandfield,Nebraska,Omaha,Insurance
131,"University of California, Davis",1908,"10,001 - 50,000",79.45,Gary S. May,California,Davis,Education
